주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"66,220","84,521","107,713","165,117","137,861",,,
영업이익,"6,543","6,427","9,418","8,564","15,210","12,751","13,852","14,857"
영업이익(발표기준),"6,543","6,427","9,418","8,564","15,210",,,
세전계속사업이익,"6,433","7,345","10,616","11,953","24,171","14,438","15,465","16,535"
당기순이익,"4,631","5,159","8,472","8,600","17,646","10,803","11,457","12,188"
  당기순이익(지배),"5,102","5,296","8,452","8,635","17,644","10,853","11,614","12,504"
  당기순이익(비지배),-471,-136,20,-34,2,,,
자산총계,"487,430","640,037","607,663","704,377","820,366","854,851","898,613","924,651"
부채총계,"446,058","591,057","557,333","648,054","746,085","772,247","809,528","821,995"
자본총계,"41,373","48,979","50,330","56,323","74,281","81,858","91,357","101,525"
  자본총계(지배),"38,561","43,166","50,037","56,118","73,982","81,428","90,833","100,174"
  자본총계(비지배),,,293,205,299,,,
자본금,"3,079","3,079","3,079","3,079","3,079","3,080","3,080","3,080"
영업활동현금흐름,"-41,991","-30,052","-13,197","-21,832","-42,505",,,
투자활동현금흐름,410,"-18,301","-19,872","1,164","-23,636",,,
재무활동현금흐름,"40,751","50,271","34,117","31,315","72,655",,,
CAPEX,405,272,418,226,201,,,
FCF,,,,,,,,
이자발생부채,"61,685","115,035","156,614","119,521","163,270",,,
영업이익률,9.88,7.60,8.74,5.19,11.03,,,
순이익률,6.99,6.10,7.87,5.21,12.80,,,
ROE(%),14.11,12.96,18.14,16.27,27.12,13.97,13.48,13.09
ROA(%),1.08,0.92,1.36,1.31,2.31,1.29,1.31,1.34
부채비율,"1,078.15","1,206.75","1,107.36","1,150.60","1,004.41",943.39,886.11,809.65
자본유보율,"1,259.89","1,506.93","1,550.79","1,745.43","2,328.63",,,
EPS(원),"8,285","8,599","13,724","14,021","28,650","17,623","18,859","20,304"
PER(배),8.33,6.92,5.28,5.63,2.82,3.88,3.63,3.37
BPS(원),"66,033","73,919","85,684","96,097","126,688","139,439","155,544","171,540"
PBR(배),1.04,0.80,0.84,0.82,0.64,0.49,0.44,0.40
현금DPS(원),"1,600","1,800","2,900","3,000","6,150","3,783","4,054","4,329"
현금배당수익률,2.32,3.03,4.01,3.80,7.62,5.53,5.93,6.33
현금배당성향(%),18.38,19.92,20.08,20.33,20.37,19.43,19.45,19.29
발행주식수(보통주),"55,725,992","55,725,992","55,725,992","55,725,992","55,725,992",,,
