주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"44,855","48,902","66,562","110,024","98,095","85,072","83,151","83,225"
영업이익,"3,603","4,581","5,176","6,780","13,087","9,262","9,779","10,381"
영업이익(발표기준),"3,603","4,581","5,176","6,780","13,087",,,
세전계속사업이익,"3,560","4,614","5,227","6,858","13,272","9,392","9,894","10,530"
당기순이익,"2,710","3,341","3,918","5,078","9,653","6,876","7,293","7,805"
  당기순이익(지배),"2,716","3,341","3,918","5,078","9,653","6,845","7,166","7,473"
  당기순이익(비지배),-6,,,,,,,
자산총계,"379,483","383,306","447,296","638,697","657,075","683,242","720,937","713,446"
부채총계,"335,366","336,685","397,803","585,526","596,266","618,338","650,486","637,534"
자본총계,"44,116","46,621","49,493","53,171","60,809","64,904","70,451","75,912"
  자본총계(지배),"44,096","46,621","49,493","53,171","60,809","65,586","71,481","73,700"
  자본총계(비지배),20,,,,,,,
자본금,"4,585","4,585","4,585","4,585","4,585","4,581","4,581","4,581"
영업활동현금흐름,"-7,891","-15,202","-39,480","-40,231","-20,749",,,
투자활동현금흐름,"-11,665","27,996","1,888","-19,451","7,259",,,
재무활동현금흐름,"20,891","-11,967","38,717","75,187","17,222",,,
CAPEX,164,114,107,60,107,,,
FCF,,,,,,,,
이자발생부채,"17,378","26,807","38,981","75,448","97,831",,,
영업이익률,8.03,9.37,7.78,6.16,13.34,10.89,11.76,12.47
순이익률,6.04,6.83,5.89,4.61,9.84,8.08,8.77,9.38
ROE(%),6.60,7.36,8.15,9.89,16.94,10.83,10.46,10.29
ROA(%),0.76,0.88,0.94,0.94,1.49,1.03,1.04,1.09
부채비율,760.18,722.17,803.76,"1,101.22",980.55,952.70,923.31,839.83
자본유보율,862.24,916.87,979.50,"1,059.72","1,226.33",,,
EPS(원),"3,125","3,741","4,388","5,686","10,810","7,665","8,025","8,369"
PER(배),11.71,8.42,8.80,7.11,4.15,4.96,4.74,4.55
BPS(원),"49,380","52,207","55,423","59,542","68,096","73,444","80,046","82,531"
PBR(배),0.74,0.60,0.70,0.68,0.66,0.52,0.48,0.46
현금DPS(원),"1,000","1,400","1,700","2,200","3,800","3,014","3,200","3,217"
현금배당수익률,2.73,4.44,4.40,5.44,8.46,7.92,8.41,8.45
현금배당성향(%),32.88,37.42,38.74,38.69,35.15,39.31,39.88,38.44
발행주식수(보통주),"89,300,000","89,300,000","89,300,000","89,300,000","89,300,000",,,
