주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"20,722","27,860","31,102","28,251","25,623","29,511","34,155","39,588"
영업이익,"-2,089","1,464","2,756","1,395",583,"1,537","2,234","3,140"
영업이익(발표기준),"-2,089","1,464","2,756","1,395",583,,,
세전계속사업이익,"-3,203",797,"1,295",825,544,"1,339","2,042","3,071"
당기순이익,"-2,352",555,"1,683",723,533,"1,074","1,608","2,122"
  당기순이익(지배),"-2,352",572,"1,704",746,639,"1,137","1,681","2,456"
  당기순이익(비지배),,-16,-21,-23,-106,,,
자산총계,"31,934","37,559","43,671","51,591","58,552","64,742","69,044","69,698"
부채총계,"20,530","27,030","31,840","39,248","45,578","51,017","54,053","52,700"
자본총계,"11,404","10,529","11,832","12,343","12,974","13,725","14,991","16,998"
  자본총계(지배),"11,404","10,094","11,419","11,954","12,694","13,522","14,846","16,782"
  자본총계(비지배),,,413,388,280,,,
자본금,"4,874","4,874","4,874","4,874","4,874","4,871","4,871","4,870"
영업활동현금흐름,"1,046","1,377","3,545","7,324","4,400","3,063","4,109","2,865"
투자활동현금흐름,"-2,158",-882,"-3,866","-3,533","-4,160","-3,020","-2,794","-3,218"
재무활동현금흐름,"2,868","-1,346",-442,"2,165","2,007",421,"-1,127",272
CAPEX,789,514,"1,873","2,530",839,"1,733","1,884","1,640"
FCF,257,862,"1,673","4,795","3,560",64,"1,143","1,835"
이자발생부채,"8,998","7,213","7,222","10,080","12,285",,,
영업이익률,-10.08,5.25,8.86,4.94,2.27,5.21,6.54,7.93
순이익률,-11.35,1.99,5.41,2.56,2.08,3.64,4.71,5.36
ROE(%),-18.19,5.32,15.84,6.39,5.18,8.67,11.85,15.53
ROA(%),-7.62,1.60,4.14,1.52,0.97,1.74,2.40,3.06
부채비율,180.02,256.71,269.11,317.98,351.29,371.70,360.56,310.05
자본유보율,132.45,111.68,138.83,149.63,164.79,,,
EPS(원),"-2,413",587,"1,748",766,656,"1,167","1,724","2,520"
PER(배),N/A,54.37,19.48,33.70,49.50,40.55,27.43,18.77
BPS(원),"11,699","10,356","11,714","12,264","13,023","13,872","15,230","17,217"
PBR(배),4.06,3.08,2.91,2.10,2.49,3.41,3.11,2.75
현금DPS(원),0,200,400,200,200,288,390,350
현금배당수익률,0.00,0.63,1.17,0.78,0.62,0.61,0.83,0.74
현금배당성향(%),0.00,34.09,22.88,26.13,30.51,24.68,22.64,13.89
발행주식수(보통주),"97,475,107","97,475,107","97,475,107","97,475,107","97,475,107",,,
