주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"60,493","59,649","56,584","52,062","72,403","90,400","91,856","94,599"
영업이익,"2,413","1,450","1,646","2,947","8,030","7,487","7,413","7,631"
영업이익(발표기준),"2,413","1,450","1,646","2,947","8,030",,,
세전계속사업이익,377,"-3,270",-825,"1,277","6,873","8,062","7,145","7,448"
당기순이익,48,"-3,045",-817,695,"5,586","6,494","5,645","5,908"
  당기순이익(지배),45,"-2,979",-685,651,"5,505","6,328","5,488","5,738"
  당기순이익(비지배),2,-66,-132,44,81,,,
자산총계,"60,910","57,302","54,390","54,185","63,341","69,294","73,074","78,567"
부채총계,"37,203","36,980","34,939","32,823","35,517","35,278","33,740","33,331"
자본총계,"23,707","20,322","19,451","21,362","27,824","34,016","39,335","45,236"
  자본총계(지배),"22,540","19,257","18,497","20,332","26,697","32,757","37,966","43,780"
  자본총계(비지배),"1,166",,954,"1,030","1,127",,,
자본금,"5,892","5,892","5,892","5,892","5,892","5,890","5,890","5,891"
영업활동현금흐름,902,"2,294","2,135","6,316","1,257","5,946","7,734","7,907"
투자활동현금흐름,-145,-730,-652,"-3,143",270,"-1,240","-1,127","-1,075"
재무활동현금흐름,"-1,831","-1,942","-1,008","-4,347",-223,"-2,461","-2,244","-2,130"
CAPEX,596,619,488,848,"1,524","1,324","1,318","1,530"
FCF,306,"1,675","1,647","5,467",-267,"4,254","5,934","5,860"
이자발생부채,"28,632","26,869","26,796","22,912","22,313",,,
영업이익률,3.99,2.43,2.91,5.66,11.09,8.28,8.07,8.07
순이익률,0.08,-5.10,-1.44,1.33,7.71,7.18,6.15,6.25
ROE(%),0.20,-14.25,-3.63,3.35,23.41,21.29,15.52,14.04
ROA(%),0.08,-5.15,-1.46,1.28,9.51,9.79,7.93,7.79
부채비율,156.93,181.97,179.63,153.65,127.65,103.71,85.78,73.68
자본유보율,156.10,99.38,167.65,176.02,266.48,,,
EPS(원),47,"-3,121",-718,682,"5,769","6,631","5,751","6,012"
PER(배),231.73,N/A,N/A,11.90,2.76,2.69,3.10,2.97
BPS(원),"24,141","20,372","19,568","21,745","28,552","35,061","40,635","46,859"
PBR(배),0.46,0.35,0.30,0.37,0.56,0.51,0.44,0.38
현금DPS(원),100,0,0,200,400,450,475,471
현금배당수익률,0.91,0.00,0.00,2.46,2.52,2.52,2.66,2.64
현금배당성향(%),206.11,0.00,0.00,28.73,6.79,6.79,8.26,7.84
발행주식수(보통주),"95,432,737","95,432,737","95,432,737","95,432,737",,,,
