주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"36,418","41,575","49,550","58,835","51,957",,,
영업이익,"4,092","3,334","4,057","5,031","7,486","7,849","8,334","8,790"
영업이익(발표기준),"4,092","3,334","4,057","5,031","7,486",,,
세전계속사업이익,"4,103","4,848","4,120","5,122","7,367","7,825","8,328","8,754"
당기순이익,"3,163","4,036","3,428","3,867","5,538","5,767","6,093","6,449"
  당기순이익(지배),"3,022","3,811","3,073","3,422","5,031","5,255","5,497","5,739"
  당기순이익(비지배),141,225,355,445,507,,,
자산총계,"567,338","649,135","724,044","799,833","859,060","911,810","963,096","1,013,683"
부채총계,"525,380","598,579","669,968","742,147","795,787","820,600","891,595","937,000"
자본총계,"41,958","50,557","54,076","57,686","63,273","66,811","71,741","76,686"
  자본총계(지배),"39,052","43,369","45,963","49,531","54,984","58,170","62,668","67,526"
  자본총계(비지배),"2,906",,"8,113","8,155","8,289",,,
자본금,"8,457","8,457","8,457","8,457","8,457","8,459","8,460","8,460"
영업활동현금흐름,16,"3,985","-9,589","-29,337","8,819",,,
투자활동현금흐름,"-5,469","-11,079","2,447","-2,822","-13,736",,,
재무활동현금흐름,"5,866","4,843","8,458","36,459","5,383",,,
CAPEX,831,"2,552",501,506,676,,,
FCF,,,,,,,,
이자발생부채,"68,012","83,186","91,821","114,339","129,745",,,
영업이익률,11.24,8.02,8.19,8.55,14.41,,,
순이익률,8.69,9.71,6.92,6.57,10.66,,,
ROE(%),7.97,9.25,6.88,7.17,9.63,9.29,9.10,8.82
ROA(%),0.57,0.66,0.50,0.51,0.67,0.65,0.65,0.65
부채비율,"1,252.16","1,183.98","1,238.94","1,286.53","1,257.70","1,228.24","1,242.80","1,221.87"
자본유보율,396.12,497.79,539.40,582.09,648.15,,,
EPS(원),"1,787","2,253","1,817","2,023","2,974","3,107","3,250","3,393"
PER(배),5.90,3.69,3.92,3.36,3.15,2.74,2.62,2.51
BPS(원),"23,088","25,640","27,173","29,283","32,507","34,390","37,049","39,922"
PBR(배),0.46,0.32,0.26,0.23,0.29,0.25,0.23,0.21
현금DPS(원),340,360,410,390,630,706,757,797
현금배당수익률,3.22,4.33,5.76,5.74,6.72,8.30,8.91,9.37
현금배당성향(%),19.03,15.98,22.57,19.28,21.18,22.72,23.30,23.48
발행주식수(보통주),"169,145,833","169,145,833","169,145,833","169,145,833","169,145,833",,,
