주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"65,941","71,834","68,868","38,781","43,397","57,280","68,520","72,830"
영업이익,"2,456",282,"-4,357","-2,718",932,"3,250","4,010","3,030"
영업이익(발표기준),"2,456",282,"-4,357","-2,718",932,,,
세전계속사업이익,"3,743","-2,496","-10,412","-4,504","-6,396",430,"1,610",870
당기순이익,"2,626","-1,959","-8,179","-5,030","-5,168",320,"1,200",650
  당기순이익(지배),"2,519","-1,979","-7,853","-3,998","-3,625",320,"1,190",640
  당기순이익(비지배),107,20,-326,"-1,032","-1,543",,,
자산총계,"86,565","81,911","135,034","138,515","130,827","127,400","122,210","122,340"
부채총계,"73,565","70,979","125,951","127,621","125,616","106,870","100,480","99,960"
자본총계,"12,999","10,932","9,083","10,893","5,211","20,530","21,730","22,380"
  자본총계(지배),"11,458","9,392","7,929","10,314","5,041","20,360","21,550","22,190"
  자본총계(비지배),918,,"1,154",580,170,,,
자본금,"10,262","10,262","11,162","3,721","3,721","10,300","10,300","10,300"
영업활동현금흐름,"7,244","7,170","5,590","-4,055","10,082","4,020","11,140","12,180"
투자활동현금흐름,"-7,210","2,231","-8,478","-10,371","-2,756","-6,230","-4,380","-11,390"
재무활동현금흐름,-157,"-8,153",643,"17,502","-5,188","2,800","-8,650","-1,880"
CAPEX,"4,836","3,536","4,645","3,364","3,749","9,850","8,690","10,590"
FCF,"2,408","3,634",945,"-7,419","6,333","-5,920","5,250","4,830"
이자발생부채,"45,180","34,402","78,103","84,620","80,843",,,
영업이익률,3.72,0.39,-6.33,-7.01,2.15,5.67,5.85,4.16
순이익률,3.98,-2.73,-11.88,-12.97,-11.91,0.56,1.75,0.89
ROE(%),24.72,-18.98,-90.67,-43.83,-47.21,2.52,5.68,2.93
ROA(%),3.11,-2.33,-7.54,-3.68,-3.84,0.25,0.96,0.53
부채비율,565.91,649.28,"1,386.69","1,171.55","2,410.60",520.56,462.40,446.65
자본유보율,15.20,-5.98,-26.39,183.98,48.64,,,
EPS(원),"3,682","-2,893","-10,877","-5,373","-4,871",226,578,311
PER(배),3.70,N/A,N/A,N/A,N/A,82.00,32.11,59.71
BPS(원),"16,748","13,729","10,656","13,883","6,774","9,884","10,462","10,772"
PBR(배),0.81,0.91,1.52,0.91,2.95,1.88,1.77,1.72
현금DPS(원),0,0,0,0,,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"68,411,764","68,411,764","74,411,764","74,411,764","74,411,764",,,
