주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"65,679","77,301","81,858","39,881","45,937","46,653","48,177","50,447"
영업이익,"6,608","8,481","8,404","2,644","2,645","3,103","3,407","3,780"
영업이익(발표기준),"6,608","8,481","8,404","2,644","2,645",,,
세전계속사업이익,"4,896","6,164","6,030","1,127","1,740","2,263","2,577","3,047"
당기순이익,"2,966","3,942","3,957","2,851","5,678","1,657","1,877","2,230"
  당기순이익(지배),"1,486","2,464","2,399","1,488","4,615","1,633","1,863","2,213"
  당기순이익(비지배),"1,480","1,478","1,558","1,362","1,063",,,
자산총계,"102,761","110,292","113,386","120,269","47,823","47,730","48,477","50,687"
부채총계,"71,029","72,084","70,710","75,379","34,125","32,730","31,950","31,940"
자본총계,"31,732","38,208","42,676","44,890","13,698","15,000","16,530","18,747"
  자본총계(지배),"15,937","19,169","22,226","23,777","13,706","15,010","16,540","18,753"
  자본총계(비지배),"15,794",,"20,450","21,113",-8,,,
자본금,"10,400","10,408","10,408","10,797","1,974","2,000","2,000","2,000"
영업활동현금흐름,"6,657","8,378","5,674","10,508","1,981","3,313","4,003","2,653"
투자활동현금흐름,"-2,563","-3,128","-3,394","-5,032","-1,763","-1,187","-1,103","-1,287"
재무활동현금흐름,323,"-4,226","-5,498","4,289","5,728","-2,340","-1,790",-653
CAPEX,"1,342","1,508","2,667","2,201","1,193","1,060",953,957
FCF,"5,315","6,870","3,007","8,307",788,"1,665","2,545","2,160"
이자발생부채,"46,490","42,688","39,829","43,665","17,845",,,
영업이익률,10.06,10.97,10.27,6.63,5.76,6.65,7.07,7.49
순이익률,4.52,5.10,4.83,7.15,12.36,3.55,3.90,4.42
ROE(%),8.13,14.04,11.59,6.47,24.63,11.38,11.81,12.54
ROA(%),2.92,3.70,3.54,2.44,6.76,3.47,3.90,4.50
부채비율,223.84,188.66,165.69,167.92,249.12,218.20,193.28,170.38
자본유보율,95.79,121.27,135.69,145.85,"1,270.35",,,
EPS(원),542,896,873,535,"2,287",827,944,"1,121"
PER(배),11.41,6.03,4.53,10.53,3.10,7.64,6.70,5.64
BPS(원),"5,801","6,972","8,084","8,337","6,945","7,604","8,379","9,501"
PBR(배),1.07,0.78,0.49,0.68,1.02,0.83,0.75,0.67
현금DPS(원),0,0,0,0,0,0,0,0
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
현금배당성향(%),0.00,0.00,0.00,0.00,,,,
발행주식수(보통주),"274,724,766","274,933,396","274,937,625","285,200,631","197,434,567",,,
