주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"24,248","20,213","21,787","24,848","25,069","31,115","35,246","38,300"
영업이익,"5,098","2,417","2,027","2,720","1,510","2,419","3,680","4,418"
영업이익(발표기준),"5,098","2,417","2,027","2,720","1,510",,,
세전계속사업이익,"4,715","2,904","2,184","4,746","3,512","3,404","5,086","5,950"
당기순이익,"3,609","2,149","1,698","3,380","2,492","2,507","3,798","4,479"
  당기순이익(지배),"3,098","1,896","1,560","3,130","2,402","2,450","3,680","4,363"
  당기순이익(비지배),511,253,138,251,89,,,
자산총계,"53,477","54,330","58,061","82,234","106,638","108,621","114,681","123,590"
부채총계,"8,824","8,815","11,577","25,728","46,561","45,246","47,194","54,287"
자본총계,"44,653","45,515","46,483","56,506","60,077","63,375","67,486","69,303"
  자본총계(지배),"43,295","43,744","44,518","54,071","57,914","60,963","65,288","66,589"
  자본총계(비지배),"1,358",,"1,965","2,435","2,162",,,
자본금,85,85,86,86,86,89,89,88
영업활동현금흐름,"5,034","2,353","3,813","3,723","1,375","3,975","5,655","5,022"
투자활동현금흐름,"-14,327","-5,053","-2,473","-15,291","-11,575","-2,246","-2,348","-2,260"
재무활동현금흐름,"25,273",-992,"-1,069","8,667","10,991",914,178,820
CAPEX,300,230,797,"2,104",864,816,731,899
FCF,"4,734","2,123","3,016","1,618",511,"1,657","3,538","1,874"
이자발생부채,39,936,"2,667","11,703","24,679",,,
영업이익률,21.02,11.96,9.30,10.95,6.02,7.78,10.44,11.54
순이익률,14.88,10.63,7.79,13.61,9.94,8.06,10.78,11.70
ROE(%),11.17,4.36,3.54,6.35,4.29,4.12,5.83,6.62
ROA(%),9.88,3.99,3.02,4.82,2.64,2.33,3.40,3.76
부채비율,19.76,19.37,24.91,45.53,77.50,71.39,69.93,78.33
자본유보율,"52,277.81","54,071.11","55,922.53","59,559.90","71,333.18",,,
EPS(원),"3,898","2,226","1,823","3,647","2,795","2,851","4,282","5,076"
PER(배),48.36,50.08,50.68,36.05,44.71,25.36,16.89,14.24
BPS(원),"50,935","52,199","54,473","66,080","70,683","74,404","79,683","81,271"
PBR(배),3.70,2.14,1.70,1.99,1.77,0.97,0.91,0.89
현금DPS(원),360,0,0,767,528,618,687,742
현금배당수익률,0.19,0.00,0.00,0.58,0.42,0.85,0.95,1.03
현금배당성향(%),9.88,0.00,0.00,20.05,18.01,21.68,16.05,14.63
발행주식수(보통주),"85,026,385","85,265,865","85,744,564","85,845,303","85,953,502",,,
