주요재무정보,"2017/12
(IFRS연결)","2018/12
(IFRS연결)","2019/12
(IFRS연결)","2020/12
(IFRS연결)","2021/12
(IFRS연결)","2022/12(E)
(IFRS연결)","2023/12(E)
(IFRS연결)","2024/12(E)
(IFRS연결)"
매출액,"11,595","13,717","13,113","12,636","17,803","25,418","24,541","25,261"
영업이익,"1,111","2,107","1,897","1,392","2,445","3,958","3,260","3,405"
영업이익(발표기준),"1,111","2,107","1,897","1,392","2,445",,,
세전계속사업이익,"1,107","2,752","2,249","2,595","7,469","5,161","4,897","4,496"
당기순이익,892,"2,149","1,684","1,988","5,855","3,971","3,804","3,486"
  당기순이익(지배),892,"2,149","1,684","1,988","5,855","3,971","3,804","3,486"
  당기순이익(비지배),,,,,,,,
자산총계,"16,413","17,000","17,927","18,746","27,235","32,039","35,090","37,484"
부채총계,"4,486","3,221","2,996","2,249","5,248","6,694","6,500","6,681"
자본총계,"11,927","13,779","14,931","16,497","21,986","25,345","28,590","30,803"
  자본총계(지배),"11,927","13,779","14,931","16,497","21,986","25,345","28,590","30,803"
  자본총계(비지배),,,,,,,,
자본금,"1,290","1,290","1,290","1,290","1,290","1,290","1,290","1,290"
영업활동현금흐름,"1,888","2,732","2,575","2,531","3,085","3,396","4,361","3,989"
투자활동현금흐름,"-2,389","-1,777","-2,036","-1,251",-338,-684,58,-264
재무활동현금흐름,-282,"-2,204",-503,"-1,296",-550,-642,-650,-581
CAPEX,629,965,714,"1,774","1,118","1,442","1,257","1,148"
FCF,"1,260","1,767","1,861",757,"1,967","2,144","3,039","2,827"
이자발생부채,"2,810",812,889,189,225,,,
영업이익률,9.58,15.36,14.46,11.02,13.73,15.57,13.28,13.48
순이익률,7.70,15.67,12.84,15.73,32.89,15.62,15.50,13.80
ROE(%),7.74,16.72,11.73,12.65,30.43,16.78,14.11,11.74
ROA(%),5.63,12.86,9.64,10.84,25.46,13.40,11.33,9.61
부채비율,37.61,23.38,20.06,13.63,23.87,26.41,22.74,21.69
자본유보율,832.05,989.97,"1,080.74","1,201.68","1,627.58",,,
EPS(원),"3,459","8,330","6,526","7,705","22,692","15,391","14,744","13,513"
PER(배),18.77,4.93,6.92,7.16,3.31,5.17,5.39,5.88
BPS(원),"46,828","54,099","58,622","64,770","86,322","99,510","112,249","120,938"
PBR(배),1.39,0.76,0.77,0.85,0.87,0.80,0.71,0.66
현금DPS(원),800,"1,700","1,700","1,500","2,300","2,329","2,200","2,183"
현금배당수익률,1.23,4.14,3.77,2.72,3.07,2.93,2.77,2.75
현금배당성향(%),22.84,20.15,25.72,19.22,10.01,15.13,14.92,16.16
발행주식수(보통주),"25,800,000","25,800,000","25,800,000","25,800,000","25,800,000",,,
