"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","178.11","176.20","178.50","175.57","165.62K","2.30%"
"2022년 05월 26일","174.11","169.92","174.42","169.88","478.97K","2.42%"
"2022년 05월 25일","170.00","170.00","170.72","169.57","151.24K","0.07%"
"2022년 05월 24일","169.88","172.30","172.30","169.61","267.93K","-1.72%"
"2022년 05월 23일","172.85","172.86","173.92","172.48","272.74K","0.13%"
"2022년 05월 20일","172.63","172.94","173.52","170.34","207.04K","0.45%"
"2022년 05월 19일","171.86","171.52","173.81","171.46","338.25K","-0.43%"
"2022년 05월 18일","172.60","175.58","176.35","172.14","255.21K","-2.23%"
"2022년 05월 17일","176.53","175.59","176.90","175.13","621.30K","1.52%"
"2022년 05월 16일","173.88","174.00","174.94","173.54","356.05K","-0.30%"
"2022년 05월 13일","174.40","173.95","175.41","173.95","552.67K","0.81%"
"2022년 05월 12일","173.00","172.68","174.49","171.72","273.72K","-0.20%"
"2022년 05월 11일","173.34","175.00","176.87","173.15","376.94K","-1.44%"
"2022년 05월 10일","175.88","177.53","177.53","174.25","335.52K","0.06%"
"2022년 05월 09일","175.78","179.15","179.87","175.68","430.48K","-2.82%"
"2022년 05월 06일","180.88","179.73","182.35","178.67","369.92K","0.32%"
"2022년 05월 05일","180.31","181.71","182.58","179.36","264.55K","-1.60%"
"2022년 05월 04일","183.25","180.99","183.30","179.99","303.79K","1.12%"
"2022년 05월 03일","181.22","181.67","181.89","180.91","422.05K","0.13%"
"2022년 05월 02일","180.98","178.44","181.02","178.19","308.82K","1.16%"
"2022년 04월 29일","178.91","179.90","181.09","178.72","254.12K","-1.02%"
