"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","1.200","1.190","1.260","1.180","2.09K","-2.44%"
"2022년 05월 26일","1.230","1.245","1.260","1.200","8.43K","2.50%"
"2022년 05월 25일","1.200","1.220","1.220","1.200","1.21K","0.00%"
"2022년 05월 24일","1.200","1.240","1.240","1.164","3.54K","-0.83%"
"2022년 05월 23일","1.210","1.196","1.215","1.191","1.59K","1.68%"
"2022년 05월 20일","1.190","1.190","1.200","1.190","2.54K","1.71%"
"2022년 05월 19일","1.170","1.190","1.270","1.169","6.29K","-1.68%"
"2022년 05월 18일","1.190","1.210","1.210","1.180","18.99K","-4.03%"
"2022년 05월 17일","1.240","1.223","1.250","1.220","2.52K","3.33%"
"2022년 05월 16일","1.200","1.220","1.260","1.190","18.23K","-4.38%"
"2022년 05월 13일","1.255","1.200","1.269","1.200","7.27K","4.58%"
"2022년 05월 12일","1.200","1.270","1.270","1.170","4.36K","1.61%"
"2022년 05월 11일","1.181","1.200","1.230","1.180","4.54K","-1.58%"
"2022년 05월 10일","1.200","1.180","1.220","1.180","5.46K","6.19%"
"2022년 05월 09일","1.130","1.200","1.200","1.120","5.37K","-6.67%"
"2022년 05월 06일","1.211","1.120","1.215","1.120","3.81K","8.11%"
"2022년 05월 05일","1.120","1.120","1.120","1.120","1.51K","-0.88%"
"2022년 05월 04일","1.130","1.120","1.150","1.110","5.65K","0.89%"
"2022년 05월 03일","1.120","1.140","1.185","1.120","5.12K","-4.27%"
"2022년 05월 02일","1.170","1.200","1.200","1.150","8.38K","-2.50%"
"2022년 04월 29일","1.200","1.309","1.309","1.200","21.86K","-4.76%"
