"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","61.16","60.86","61.28","59.83","691.58K","0.34%"
"2022년 05월 23일","60.95","60.98","61.75","60.09","1.10M","1.77%"
"2022년 05월 20일","59.89","60.47","60.48","58.44","927.31K","0.13%"
"2022년 05월 19일","59.81","60.41","61.03","59.00","1.22M","-2.00%"
"2022년 05월 18일","61.03","64.02","64.17","60.73","816.66K","-5.57%"
"2022년 05월 17일","64.63","63.54","65.04","63.40","578.49K","3.52%"
"2022년 05월 16일","62.43","62.17","62.77","61.20","815.59K","0.05%"
"2022년 05월 13일","62.40","63.36","63.91","62.00","863.95K","-1.16%"
"2022년 05월 12일","63.13","62.95","63.87","62.07","877.21K","0.45%"
"2022년 05월 11일","62.85","62.91","65.04","62.47","921.94K","-0.52%"
"2022년 05월 10일","63.18","64.95","65.34","62.18","813.80K","-1.60%"
"2022년 05월 09일","64.21","64.71","66.00","64.04","883.04K","-2.12%"
"2022년 05월 06일","65.60","64.41","66.06","63.71","762.11K","1.23%"
"2022년 05월 05일","64.80","67.23","67.48","64.24","785.71K","-5.37%"
"2022년 05월 04일","68.48","66.17","68.71","65.76","1.23M","4.44%"
"2022년 05월 03일","65.57","64.94","66.51","63.88","956.90K","1.90%"
"2022년 05월 02일","64.35","64.65","65.06","62.87","723.86K","0.22%"
"2022년 04월 29일","64.21","65.73","66.48","63.89","603.07K","-2.89%"
"2022년 04월 28일","66.12","65.64","66.22","64.44","538.08K","1.55%"
"2022년 04월 27일","65.11","64.73","66.03","64.63","445.82K","1.23%"
"2022년 04월 26일","64.32","65.72","65.75","63.96","505.95K","-1.61%"
"2022년 04월 25일","65.37","65.17","65.59","62.97","1.23M","0.00%"
