"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","15.88","15.24","15.94","15.10","34.87K","5.73%"
"2022년 05월 26일","15.02","14.35","15.35","14.34","32.65K","4.60%"
"2022년 05월 25일","14.36","13.91","14.51","13.91","31.13K","3.16%"
"2022년 05월 24일","13.92","13.85","14.00","13.26","33.95K","-0.93%"
"2022년 05월 23일","14.05","14.02","14.35","13.57","28.04K","0.36%"
"2022년 05월 20일","14.00","14.74","14.80","13.46","53.41K","-3.38%"
"2022년 05월 19일","14.49","14.68","15.14","14.05","72.94K","-2.62%"
"2022년 05월 18일","14.88","15.00","15.17","14.73","39.61K","-1.91%"
"2022년 05월 17일","15.17","14.79","15.32","14.74","46.41K","4.33%"
"2022년 05월 16일","14.54","14.18","14.89","14.12","60.39K","1.61%"
"2022년 05월 13일","14.31","14.24","14.51","13.91","66.19K","2.88%"
"2022년 05월 12일","13.91","13.82","14.07","13.19","107.79K","-0.64%"
"2022년 05월 11일","14.00","12.70","14.24","12.37","290.58K","11.64%"
"2022년 05월 10일","12.54","10.53","12.89","10.39","257.32K","27.18%"
"2022년 05월 09일","9.86","9.58","9.90","9.23","89.46K","1.86%"
"2022년 05월 06일","9.68","9.67","9.95","9.50","57.17K","-1.22%"
"2022년 05월 05일","9.80","10.31","10.38","9.41","81.40K","-7.37%"
"2022년 05월 04일","10.58","10.04","10.58","9.56","92.76K","5.48%"
"2022년 05월 03일","10.03","10.04","10.37","9.80","71.45K","0.30%"
"2022년 05월 02일","10.00","9.69","10.03","9.62","150.43K","4.28%"
"2022년 04월 29일","9.59","10.46","10.76","9.54","72.55K","-9.78%"
