"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","203.17","203.21","204.46","200.16","696.49K","-0.42%"
"2022년 05월 23일","204.03","200.43","205.00","198.26","690.01K","2.80%"
"2022년 05월 20일","198.48","201.58","203.18","192.99","877.65K","-0.91%"
"2022년 05월 19일","200.31","201.71","203.42","199.00","597.37K","-1.29%"
"2022년 05월 18일","202.92","205.47","206.17","201.96","784.73K","-2.07%"
"2022년 05월 17일","207.21","206.34","208.84","204.25","386.42K","1.45%"
"2022년 05월 16일","204.25","205.43","205.93","202.60","442.75K","-0.77%"
"2022년 05월 13일","205.83","203.67","207.52","201.75","818.90K","2.22%"
"2022년 05월 12일","201.36","201.10","203.27","197.29","819.77K","-0.14%"
"2022년 05월 11일","201.64","205.67","210.63","201.15","590.69K","-2.28%"
"2022년 05월 10일","206.35","209.28","210.02","203.38","827.96K","-0.68%"
"2022년 05월 09일","207.77","212.17","212.54","206.99","743.80K","-2.23%"
"2022년 05월 06일","212.50","214.78","214.78","210.24","625.19K","-1.68%"
"2022년 05월 05일","216.13","217.32","219.52","213.62","743.36K","-1.83%"
"2022년 05월 04일","220.15","213.31","220.64","211.57","612.83K","2.88%"
"2022년 05월 03일","213.99","213.07","218.17","210.47","921.08K","1.19%"
"2022년 05월 02일","211.48","213.82","216.03","207.53","1.25M","-1.57%"
"2022년 04월 29일","214.86","228.11","228.11","214.14","1.42M","-6.13%"
"2022년 04월 28일","228.90","242.59","242.59","222.60","1.48M","-1.73%"
"2022년 04월 27일","232.94","235.16","236.84","231.79","1.54M","-0.94%"
"2022년 04월 26일","235.16","239.36","240.26","234.73","1.10M","-2.45%"
"2022년 04월 25일","241.06","237.14","242.58","233.54","1.22M","1.55%"
