"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","44.17","44.57","44.62","44.08","19.98K","-0.50%"
"2022년 05월 26일","44.39","44.61","45.02","43.76","38.13K","0.25%"
"2022년 05월 25일","44.28","43.61","44.50","43.61","32.61K","0.82%"
"2022년 05월 24일","43.92","42.73","44.31","42.70","48.44K","2.81%"
"2022년 05월 23일","42.72","41.56","42.72","41.34","35.78K","3.76%"
"2022년 05월 20일","41.17","41.44","41.44","40.32","201.71K","-0.17%"
"2022년 05월 19일","41.24","42.39","42.93","40.95","60.59K","-3.51%"
"2022년 05월 18일","42.74","42.19","43.69","41.82","75.14K","0.97%"
"2022년 05월 17일","42.33","41.24","42.33","40.92","34.56K","3.37%"
"2022년 05월 16일","40.95","39.75","41.13","39.75","32.52K","2.53%"
"2022년 05월 13일","39.94","41.19","41.64","39.74","52.24K","-3.18%"
"2022년 05월 12일","41.25","40.03","41.39","40.03","36.86K","2.82%"
"2022년 05월 11일","40.12","39.63","40.75","39.60","40.85K","0.70%"
"2022년 05월 10일","39.84","41.40","41.70","39.60","36.78K","-3.44%"
"2022년 05월 09일","41.26","40.16","41.54","38.84","43.80K","2.46%"
"2022년 05월 06일","40.27","40.34","40.84","39.86","33.35K","-0.91%"
"2022년 05월 05일","40.64","40.90","41.88","39.59","51.16K","-1.19%"
"2022년 05월 04일","41.13","39.17","41.24","39.17","48.77K","5.00%"
"2022년 05월 03일","39.17","39.31","39.89","38.82","37.71K","-0.46%"
"2022년 05월 02일","39.35","39.80","40.19","39.09","59.79K","-0.38%"
"2022년 04월 29일","39.50","40.30","41.04","39.44","45.02K","-2.52%"
