"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","133.45","131.34","133.71","130.77","1.11M","1.90%"
"2022년 05월 23일","130.96","130.00","131.52","129.29","1.11M","1.17%"
"2022년 05월 20일","129.45","128.31","129.61","126.69","1.14M","1.52%"
"2022년 05월 19일","127.51","127.02","128.57","125.41","1.40M","-0.45%"
"2022년 05월 18일","128.09","131.62","132.36","127.92","1.16M","-3.20%"
"2022년 05월 17일","132.33","131.40","132.38","129.74","1.27M","1.15%"
"2022년 05월 16일","130.82","130.89","132.30","129.52","953.32K","-0.05%"
"2022년 05월 13일","130.89","129.50","131.29","128.65","1.73M","2.48%"
"2022년 05월 12일","127.72","129.39","130.14","126.62","1.86M","-1.10%"
"2022년 05월 11일","129.14","128.76","131.24","128.51","1.11M","0.02%"
"2022년 05월 10일","129.11","131.79","132.65","127.93","1.34M","-1.41%"
"2022년 05월 09일","130.95","134.02","134.74","130.10","1.60M","-3.14%"
"2022년 05월 06일","135.19","130.96","136.09","130.62","2.45M","3.73%"
"2022년 05월 05일","130.33","133.04","133.53","129.40","1.33M","-2.43%"
"2022년 05월 04일","133.57","131.43","133.77","130.28","1.27M","1.78%"
"2022년 05월 03일","131.23","131.15","133.41","130.78","1.20M","0.18%"
"2022년 05월 02일","130.99","134.04","135.23","129.44","1.94M","-2.44%"
"2022년 04월 29일","134.27","137.33","137.61","134.02","1.61M","-2.78%"
"2022년 04월 28일","138.11","136.85","138.38","136.00","967.12K","0.77%"
"2022년 04월 27일","137.06","134.99","138.05","134.79","1.73M","1.54%"
"2022년 04월 26일","134.98","134.16","137.66","133.56","2.05M","1.91%"
"2022년 04월 25일","132.45","132.28","132.69","130.39","1.26M","0.04%"
