"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 20일","3.680","3.550","3.710","3.390","5.69M","4.84%"
"2022년 05월 19일","3.510","3.200","3.575","3.200","7.14M","10.03%"
"2022년 05월 18일","3.190","3.345","3.370","3.120","7.45M","-5.06%"
"2022년 05월 17일","3.360","3.110","3.370","3.080","4.55M","9.80%"
"2022년 05월 16일","3.060","2.990","3.225","2.960","4.70M","1.66%"
"2022년 05월 13일","3.010","2.800","3.010","2.735","4.22M","10.26%"
"2022년 05월 12일","2.730","2.680","2.840","2.610","4.15M","2.25%"
"2022년 05월 11일","2.670","2.930","3.020","2.655","5.06M","-9.49%"
"2022년 05월 10일","2.950","2.780","3.020","2.780","6.75M","6.50%"
"2022년 05월 09일","2.770","2.910","2.991","2.765","6.31M","-6.10%"
"2022년 05월 06일","2.950","2.910","3.140","2.888","3.99M","-3.91%"
"2022년 05월 05일","3.070","3.200","3.245","2.990","3.03M","-4.95%"
"2022년 05월 04일","3.230","3.230","3.245","2.910","5.90M","-0.31%"
"2022년 05월 03일","3.240","3.250","3.300","3.180","2.61M","-1.22%"
"2022년 05월 02일","3.280","3.170","3.280","3.080","4.08M","4.79%"
"2022년 04월 29일","3.130","3.170","3.330","3.130","3.16M","-3.10%"
"2022년 04월 28일","3.230","3.200","3.260","3.010","3.01M","3.53%"
"2022년 04월 27일","3.120","3.130","3.245","3.100","4.26M","-0.95%"
"2022년 04월 26일","3.150","3.390","3.420","3.140","3.62M","-7.08%"
"2022년 04월 25일","3.390","3.310","3.410","3.290","2.92M","1.80%"
"2022년 04월 22일","3.330","3.360","3.435","3.300","2.32M","-0.89%"
