"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 20일","87.63","87.11","87.98","85.90","3.81M","1.00%"
"2022년 05월 19일","86.76","86.08","87.59","85.14","3.25M","0.16%"
"2022년 05월 18일","86.62","89.45","90.24","86.24","3.15M","-2.93%"
"2022년 05월 17일","89.23","89.76","90.21","88.08","2.27M","0.13%"
"2022년 05월 16일","89.11","88.11","90.06","88.11","2.72M","0.25%"
"2022년 05월 13일","88.89","86.11","89.15","85.86","3.18M","3.75%"
"2022년 05월 12일","85.68","83.71","86.53","83.71","3.16M","0.91%"
"2022년 05월 11일","84.91","83.88","87.32","83.39","3.44M","0.92%"
"2022년 05월 10일","84.14","84.89","85.28","83.07","2.89M","0.68%"
"2022년 05월 09일","83.57","85.37","86.49","82.21","4.92M","-3.58%"
"2022년 05월 06일","86.67","82.55","87.59","82.55","6.64M","4.37%"
"2022년 05월 05일","83.04","85.75","86.17","82.13","3.92M","-4.17%"
"2022년 05월 04일","86.65","83.81","86.87","83.35","3.50M","3.25%"
"2022년 05월 03일","83.92","85.51","85.51","83.11","2.81M","-0.98%"
"2022년 05월 02일","84.75","86.14","86.59","83.14","3.48M","-1.09%"
"2022년 04월 29일","85.68","87.25","87.82","85.24","3.32M","-2.43%"
"2022년 04월 28일","87.81","86.86","87.99","85.38","2.67M","1.22%"
"2022년 04월 27일","86.75","85.99","87.42","85.73","3.69M","0.57%"
"2022년 04월 26일","86.26","85.84","87.04","85.74","4.19M","-0.48%"
"2022년 04월 25일","86.68","85.65","86.79","83.62","3.50M","1.20%"
"2022년 04월 22일","85.65","86.50","86.94","85.19","3.99M","-1.42%"
