"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","36.21","35.90","36.28","35.41","7.72M","0.53%"
"2022년 05월 23일","36.02","35.68","36.27","35.40","8.44M","1.81%"
"2022년 05월 20일","35.38","35.28","35.50","34.76","7.98M","1.03%"
"2022년 05월 19일","35.02","34.59","35.42","34.47","7.48M","-0.60%"
"2022년 05월 18일","35.23","36.05","36.17","34.83","7.27M","-1.87%"
"2022년 05월 17일","35.90","35.69","35.94","35.20","6.11M","1.30%"
"2022년 05월 16일","35.44","35.15","35.77","34.99","6.56M","1.87%"
"2022년 05월 13일","34.79","34.99","35.42","34.62","7.87M","0.49%"
"2022년 05월 12일","34.62","34.46","34.69","33.99","6.72M","0.46%"
"2022년 05월 11일","34.46","34.57","35.53","34.34","8.11M","0.82%"
"2022년 05월 10일","34.18","34.87","35.27","33.54","12.15M","-1.61%"
"2022년 05월 09일","34.74","36.02","36.18","34.65","10.01M","-5.26%"
"2022년 05월 06일","36.67","36.16","36.78","35.31","9.01M","2.12%"
"2022년 05월 05일","35.91","36.98","36.99","35.48","9.48M","-2.66%"
"2022년 05월 04일","36.89","35.95","37.05","35.56","12.11M","4.47%"
"2022년 05월 03일","35.31","35.13","35.51","34.28","9.86M","2.65%"
"2022년 05월 02일","34.40","34.21","34.66","33.78","8.88M","0.32%"
"2022년 04월 29일","34.29","34.61","34.95","34.15","9.09M","-1.55%"
"2022년 04월 28일","34.83","34.76","35.06","33.93","7.22M","1.49%"
"2022년 04월 27일","34.32","34.42","34.68","33.81","8.56M","0.03%"
"2022년 04월 26일","34.31","34.03","35.07","33.99","8.12M","1.21%"
"2022년 04월 25일","33.90","34.36","34.38","33.02","11.68M","-3.42%"
