"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 20일","5.600","5.900","5.900","5.500","2.87M","-1.23%"
"2022년 05월 19일","5.670","5.610","5.770","5.480","2.84M","-1.90%"
"2022년 05월 18일","5.780","5.810","5.990","5.760","1.83M","-2.86%"
"2022년 05월 17일","5.950","5.840","5.960","5.815","1.39M","3.48%"
"2022년 05월 16일","5.750","5.890","6.015","5.725","1.59M","-3.36%"
"2022년 05월 13일","5.950","5.730","5.960","5.685","2.79M","5.87%"
"2022년 05월 12일","5.620","5.440","5.700","5.440","2.32M","0.90%"
"2022년 05월 11일","5.570","5.650","5.825","5.545","2.26M","-2.11%"
"2022년 05월 10일","5.690","5.840","5.930","5.535","1.73M","-0.87%"
"2022년 05월 09일","5.740","5.880","6.115","5.700","3.38M","-3.04%"
"2022년 05월 06일","5.920","6.060","6.260","5.830","4.41M","-6.48%"
"2022년 05월 05일","6.330","6.580","6.740","6.310","4.23M","-6.08%"
"2022년 05월 04일","6.740","6.880","6.940","6.330","12.53M","-14.58%"
"2022년 05월 03일","7.890","7.880","8.010","7.780","2.06M","-0.63%"
"2022년 05월 02일","7.940","7.690","7.945","7.690","1.56M","3.25%"
"2022년 04월 29일","7.690","7.850","7.980","7.630","1.44M","-2.78%"
"2022년 04월 28일","7.910","7.790","8.060","7.610","1.68M","2.73%"
"2022년 04월 27일","7.700","7.700","7.810","7.561","1.94M","-0.39%"
"2022년 04월 26일","7.730","8.010","8.120","7.730","1.74M","-4.57%"
"2022년 04월 25일","8.100","7.710","8.110","7.690","3.00M","4.92%"
"2022년 04월 22일","7.720","7.690","7.790","7.570","2.12M","0.26%"
