"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","4.350","4.220","4.365","4.150","1.89M","3.08%"
"2022년 05월 26일","4.220","4.400","4.400","4.000","3.60M","-2.54%"
"2022년 05월 25일","4.330","4.710","4.710","4.170","1.45M","-3.99%"
"2022년 05월 24일","4.510","5.560","5.580","4.200","2.59M","-19.03%"
"2022년 05월 23일","5.570","5.470","5.660","5.400","480.96K","1.64%"
"2022년 05월 20일","5.480","5.500","5.590","5.355","509.18K","0.55%"
"2022년 05월 19일","5.450","5.180","5.610","5.180","975.47K","4.21%"
"2022년 05월 18일","5.230","5.230","5.450","5.190","551.46K","0.00%"
"2022년 05월 17일","5.230","5.220","5.370","5.140","527.45K","2.35%"
"2022년 05월 16일","5.110","5.340","5.400","5.100","818.96K","-5.72%"
"2022년 05월 13일","5.420","5.220","5.543","5.200","501.17K","5.04%"
"2022년 05월 12일","5.160","5.080","5.310","4.970","651.68K","0.39%"
"2022년 05월 11일","5.140","5.200","5.380","4.730","578.82K","-2.47%"
"2022년 05월 10일","5.270","5.650","5.760","5.190","730.56K","-6.56%"
"2022년 05월 09일","5.640","5.910","6.100","5.610","622.66K","-5.21%"
"2022년 05월 06일","5.950","6.050","6.070","5.870","374.79K","-1.65%"
"2022년 05월 05일","6.050","6.290","6.320","5.955","329.95K","-5.02%"
"2022년 05월 04일","6.370","6.190","6.400","6.070","390.02K","3.07%"
"2022년 05월 03일","6.180","6.300","6.490","6.140","400.58K","-2.22%"
"2022년 05월 02일","6.320","6.100","6.345","6.080","515.88K","2.93%"
"2022년 04월 29일","6.140","6.070","6.240","5.980","669.84K","1.82%"
