"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","43.14","47.58","47.69","42.59","5.91M","-10.59%"
"2022년 05월 23일","48.25","50.37","50.59","47.64","4.93M","-3.71%"
"2022년 05월 20일","50.11","49.40","50.19","47.39","4.79M","3.04%"
"2022년 05월 19일","48.63","47.24","50.24","46.65","5.41M","1.42%"
"2022년 05월 18일","47.95","50.70","50.95","47.08","4.18M","-6.71%"
"2022년 05월 17일","51.40","53.35","54.35","50.30","5.08M","-1.13%"
"2022년 05월 16일","51.99","54.14","55.42","51.88","3.27M","-5.46%"
"2022년 05월 13일","54.99","51.22","55.32","51.21","5.45M","10.36%"
"2022년 05월 12일","49.83","47.90","51.38","46.08","5.33M","3.04%"
"2022년 05월 11일","48.36","51.36","53.48","48.30","4.83M","-4.75%"
"2022년 05월 10일","50.77","54.01","55.11","49.15","5.29M","-4.12%"
"2022년 05월 09일","52.95","58.50","59.08","52.58","5.24M","-11.68%"
"2022년 05월 06일","59.95","62.30","62.37","59.30","3.43M","-4.77%"
"2022년 05월 05일","62.95","65.78","67.16","61.96","3.37M","-5.18%"
"2022년 05월 04일","66.39","69.40","69.46","61.49","7.90M","-1.86%"
"2022년 05월 03일","67.65","68.64","69.93","66.00","3.71M","-1.02%"
"2022년 05월 02일","68.35","66.26","68.42","65.17","2.79M","3.12%"
"2022년 04월 29일","66.28","67.35","70.23","66.10","2.44M","-1.65%"
"2022년 04월 28일","67.39","64.47","68.02","63.78","3.22M","5.05%"
"2022년 04월 27일","64.15","64.61","65.91","62.28","2.66M","-1.05%"
"2022년 04월 26일","64.83","67.43","68.32","63.52","2.80M","-5.36%"
"2022년 04월 25일","68.50","65.65","68.59","64.60","2.49M","2.85%"
