"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","212.61","209.60","212.61","209.39","916.98K","1.47%"
"2022년 05월 26일","209.54","211.62","213.35","209.28","1.16M","-0.89%"
"2022년 05월 25일","211.43","213.45","213.76","210.39","1.17M","-0.95%"
"2022년 05월 24일","213.45","210.32","213.78","209.75","858.45K","2.01%"
"2022년 05월 23일","209.25","209.56","210.81","207.56","969.51K","1.10%"
"2022년 05월 20일","206.98","206.47","207.66","202.88","1.32M","0.91%"
"2022년 05월 19일","205.12","204.46","206.79","201.42","1.64M","-1.24%"
"2022년 05월 18일","207.69","224.72","225.09","207.14","1.75M","-7.86%"
"2022년 05월 17일","225.41","228.83","229.00","222.24","1.25M","-1.71%"
"2022년 05월 16일","229.32","227.14","229.63","225.58","1.05M","1.51%"
"2022년 05월 13일","225.91","223.36","226.26","221.34","1.84M","1.52%"
"2022년 05월 12일","222.53","224.00","225.84","221.01","1.40M","-0.93%"
"2022년 05월 11일","224.63","222.23","227.34","222.13","1.00M","0.66%"
"2022년 05월 10일","223.15","223.73","225.87","221.85","1.43M","-0.02%"
"2022년 05월 09일","223.20","224.75","226.80","222.31","1.27M","-1.26%"
"2022년 05월 06일","226.05","223.02","226.88","223.02","1.45M","0.99%"
"2022년 05월 05일","223.84","224.50","227.18","222.70","1.42M","-0.66%"
"2022년 05월 04일","225.33","220.15","225.48","220.15","1.29M","2.39%"
"2022년 05월 03일","220.07","218.06","221.80","218.06","1.45M","1.17%"
"2022년 05월 02일","217.53","226.73","228.00","215.76","1.50M","-3.65%"
