"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 20일","5.61","5.75","5.86","5.26","8.09M","0.18%"
"2022년 05월 19일","5.60","5.18","5.77","5.16","5.14M","7.28%"
"2022년 05월 18일","5.22","5.53","5.75","5.16","7.91M","-8.90%"
"2022년 05월 17일","5.73","5.68","5.94","5.45","5.07M","3.99%"
"2022년 05월 16일","5.51","5.75","5.90","5.47","6.52M","-5.65%"
"2022년 05월 13일","5.84","5.14","5.94","5.07","9.74M","17.03%"
"2022년 05월 12일","4.99","4.58","5.22","4.51","11.01M","6.97%"
"2022년 05월 11일","4.66","5.17","5.36","4.66","9.87M","-12.48%"
"2022년 05월 10일","5.33","5.51","5.76","4.77","7.34M","0.95%"
"2022년 05월 09일","5.28","5.91","6.00","5.25","4.97M","-13.73%"
"2022년 05월 06일","6.12","6.40","6.40","5.70","8.79M","-4.67%"
"2022년 05월 05일","6.42","7.52","7.74","6.34","9.20M","-11.93%"
"2022년 05월 04일","7.29","6.83","7.51","6.45","9.10M","6.73%"
"2022년 05월 03일","6.83","6.83","7.06","6.59","4.78M","-0.29%"
"2022년 05월 02일","6.85","6.25","6.86","6.21","6.19M","8.04%"
"2022년 04월 29일","6.34","6.52","6.88","6.32","5.47M","-3.21%"
"2022년 04월 28일","6.55","6.66","6.81","5.91","6.54M","-1.36%"
"2022년 04월 27일","6.64","6.69","6.90","6.50","7.04M","-0.45%"
"2022년 04월 26일","6.67","7.13","7.33","6.66","4.38M","-7.23%"
"2022년 04월 25일","7.19","6.76","7.21","6.65","7.76M","5.43%"
"2022년 04월 22일","6.82","6.66","6.94","6.57","8.21M","2.25%"
