"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","53.79","55.10","55.40","53.09","1.57M","-4.10%"
"2022년 05월 23일","56.09","56.62","57.35","55.16","2.06M","-0.90%"
"2022년 05월 20일","56.60","56.76","57.26","54.64","1.62M","1.71%"
"2022년 05월 19일","55.65","55.29","57.10","55.06","2.57M","0.58%"
"2022년 05월 18일","55.33","56.40","57.43","54.89","1.46M","-3.44%"
"2022년 05월 17일","57.30","56.02","57.54","55.62","2.98M","4.49%"
"2022년 05월 16일","54.84","55.46","56.45","54.54","2.41M","-2.77%"
"2022년 05월 13일","56.40","53.20","57.11","53.20","2.40M","8.61%"
"2022년 05월 12일","51.93","49.10","52.30","48.93","2.38M","3.38%"
"2022년 05월 11일","50.23","51.80","53.95","50.04","1.63M","-4.01%"
"2022년 05월 10일","52.33","53.82","54.97","50.48","2.22M","-0.19%"
"2022년 05월 09일","52.43","53.11","54.15","51.85","2.65M","-4.48%"
"2022년 05월 06일","54.89","56.06","56.74","52.79","2.46M","-2.80%"
"2022년 05월 05일","56.47","59.85","59.85","54.76","5.19M","-7.79%"
"2022년 05월 04일","61.24","58.80","61.28","55.22","2.84M","7.14%"
"2022년 05월 03일","57.16","57.21","58.31","56.65","1.52M","-0.30%"
"2022년 05월 02일","57.33","55.96","57.67","55.56","1.31M","2.14%"
"2022년 04월 29일","56.13","57.29","58.99","56.03","2.09M","-3.17%"
"2022년 04월 28일","57.97","56.83","58.23","55.76","1.63M","3.43%"
"2022년 04월 27일","56.05","56.46","58.30","55.92","1.51M","-0.25%"
"2022년 04월 26일","56.19","58.30","58.30","56.19","1.29M","-4.11%"
"2022년 04월 25일","58.60","56.53","58.63","56.03","1.28M","3.31%"
