"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","82.22","79.86","82.32","79.79","140.11K","3.94%"
"2022년 05월 26일","79.10","76.26","79.32","76.26","120.77K","3.67%"
"2022년 05월 25일","76.30","74.20","76.80","74.20","121.43K","2.21%"
"2022년 05월 24일","74.65","75.05","76.35","72.67","224.14K","-1.60%"
"2022년 05월 23일","75.86","76.14","76.72","74.61","269.12K","0.52%"
"2022년 05월 20일","75.47","77.93","77.93","72.89","304.21K","-1.48%"
"2022년 05월 19일","76.60","76.94","79.19","76.23","293.29K","-1.03%"
"2022년 05월 18일","77.40","79.03","81.08","76.99","307.64K","-4.30%"
"2022년 05월 17일","80.88","79.24","81.30","78.80","154.33K","4.52%"
"2022년 05월 16일","77.38","78.41","79.13","77.26","144.94K","-2.69%"
"2022년 05월 13일","79.52","77.41","80.10","77.02","174.39K","4.76%"
"2022년 05월 12일","75.91","73.66","76.23","73.02","165.92K","2.22%"
"2022년 05월 11일","74.26","75.62","77.94","73.99","155.68K","-1.99%"
"2022년 05월 10일","75.77","76.37","77.10","72.22","255.27K","0.61%"
"2022년 05월 09일","75.31","76.77","77.78","74.54","199.12K","-4.28%"
"2022년 05월 06일","78.68","78.92","80.14","76.64","181.22K","-1.27%"
"2022년 05월 05일","79.69","81.49","82.00","76.68","269.29K","-4.49%"
"2022년 05월 04일","83.44","79.39","83.95","78.62","303.06K","5.98%"
"2022년 05월 03일","78.73","77.53","79.02","77.19","151.26K","1.17%"
"2022년 05월 02일","77.82","76.24","77.91","75.04","157.52K","1.70%"
"2022년 04월 29일","76.52","76.68","79.46","76.05","198.85K","-1.34%"
