"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","7.500","7.597","7.597","7.500","2.83K","2.32%"
"2022년 05월 26일","7.330","7.520","7.520","7.330","2.69K","-2.66%"
"2022년 05월 25일","7.530","7.637","7.637","7.520","0.53K","0.13%"
"2022년 05월 24일","7.520","7.520","7.520","7.520","0.59K","0.13%"
"2022년 05월 23일","7.510","7.700","7.700","7.510","0.69K","-0.26%"
"2022년 05월 20일","7.530","7.888","7.888","7.530","1.22K","-2.08%"
"2022년 05월 19일","7.690","7.660","7.700","7.350","5.11K","0.52%"
"2022년 05월 18일","7.650","7.670","7.670","7.585","0.93K","3.24%"
"2022년 05월 17일","7.410","7.330","7.630","7.330","1.63K","2.92%"
"2022년 05월 16일","7.200","7.490","7.500","7.200","4.16K","-5.01%"
"2022년 05월 13일","7.580","7.400","7.580","7.184","24.29K","3.17%"
"2022년 05월 12일","7.347","7.347","7.347","7.347","0.48K","-1.38%"
"2022년 05월 11일","7.450","7.450","7.450","7.450","0.56K","-0.06%"
"2022년 05월 10일","7.454","7.400","7.454","7.350","30.53K","1.01%"
"2022년 05월 09일","7.380","7.590","7.590","7.380","1.09K","-2.92%"
"2022년 05월 06일","7.602","7.670","7.670","7.602","1.20K","-1.34%"
"2022년 05월 05일","7.705","7.850","7.850","7.670","1.14K","-2.84%"
"2022년 05월 04일","7.930","7.750","7.950","7.750","1.49K","2.59%"
"2022년 05월 03일","7.730","7.980","8.000","7.730","0.78K","0.00%"
"2022년 05월 02일","7.730","8.020","8.020","7.730","1.40K","-4.69%"
"2022년 04월 29일","8.110","7.990","8.150","7.740","6.03K","0.83%"
