"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","308.87","305.00","312.39","292.51","847.79K","-1.84%"
"2022년 05월 23일","314.66","317.97","327.91","310.67","717.32K","-1.79%"
"2022년 05월 20일","320.39","329.91","335.00","318.42","1.49M","-2.02%"
"2022년 05월 19일","326.98","311.00","336.66","309.99","844.51K","4.47%"
"2022년 05월 18일","313.00","305.03","315.12","304.00","830.72K","0.11%"
"2022년 05월 17일","312.67","317.89","319.82","309.18","527.20K","0.60%"
"2022년 05월 16일","310.80","315.26","318.26","305.82","545.98K","-2.65%"
"2022년 05월 13일","319.25","300.96","323.70","300.96","579.59K","8.40%"
"2022년 05월 12일","294.50","286.89","307.88","282.28","883.00K","-0.53%"
"2022년 05월 11일","296.06","312.53","327.88","295.03","721.52K","-7.37%"
"2022년 05월 10일","319.62","321.70","325.93","300.42","738.94K","0.54%"
"2022년 05월 09일","317.89","333.84","338.76","300.99","1.77M","-8.39%"
"2022년 05월 06일","347.00","352.02","362.26","335.91","1.63M","0.29%"
"2022년 05월 05일","346.00","340.68","364.65","333.27","2.60M","10.68%"
"2022년 05월 04일","312.60","295.32","316.80","286.25","1.29M","5.25%"
"2022년 05월 03일","297.00","286.15","305.24","286.15","1.17M","2.95%"
"2022년 05월 02일","288.50","268.21","288.79","265.38","1.03M","8.87%"
"2022년 04월 29일","264.99","279.05","282.51","263.75","534.82K","-5.70%"
"2022년 04월 28일","281.00","273.68","285.26","264.27","534.20K","5.31%"
"2022년 04월 27일","266.82","266.96","276.96","260.68","490.48K","0.69%"
"2022년 04월 26일","264.98","278.30","280.00","263.73","536.24K","-5.39%"
"2022년 04월 25일","280.07","271.18","280.67","270.43","487.73K","1.20%"
