"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","3.290","3.280","3.330","3.280","5.05K","2.17%"
"2022년 05월 26일","3.220","3.077","3.390","3.024","30.77K","4.55%"
"2022년 05월 25일","3.080","3.110","3.110","3.011","23.93K","-0.32%"
"2022년 05월 24일","3.090","3.070","3.150","3.020","14.29K","-1.59%"
"2022년 05월 23일","3.140","3.080","3.280","3.030","3.55K","2.95%"
"2022년 05월 20일","3.050","3.020","3.110","2.968","19.19K","0.99%"
"2022년 05월 19일","3.020","2.950","3.230","2.950","3.93K","0.67%"
"2022년 05월 18일","3.000","3.060","3.060","3.000","18.25K","-0.66%"
"2022년 05월 17일","3.020","3.050","3.113","3.015","4.14K","-0.66%"
"2022년 05월 16일","3.040","3.030","3.144","3.010","9.10K","-0.65%"
"2022년 05월 13일","3.060","3.150","3.150","3.010","12.34K","1.27%"
"2022년 05월 12일","3.022","3.100","3.140","3.020","4.89K","-4.08%"
"2022년 05월 11일","3.150","3.150","3.190","3.100","5.67K","-0.32%"
"2022년 05월 10일","3.160","3.250","3.270","3.150","8.02K","-2.77%"
"2022년 05월 09일","3.250","3.470","3.470","3.150","21.16K","-3.27%"
"2022년 05월 06일","3.360","3.450","3.450","3.306","2.71K","1.51%"
"2022년 05월 05일","3.310","3.350","3.400","3.230","12.11K","0.00%"
"2022년 05월 04일","3.310","3.240","3.370","3.240","10.66K","-0.30%"
"2022년 05월 03일","3.320","3.288","3.350","3.240","5.51K","2.47%"
"2022년 05월 02일","3.240","3.290","3.344","3.240","4.36K","-2.99%"
"2022년 04월 29일","3.340","3.210","3.350","3.200","15.66K","-2.05%"
