"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","2.72","2.48","2.78","2.39","1.06M","12.40%"
"2022년 05월 26일","2.42","2.59","2.69","2.41","1.05M","-6.20%"
"2022년 05월 25일","2.58","2.65","2.71","2.51","792.02K","-3.37%"
"2022년 05월 24일","2.67","2.84","2.89","2.51","1.75M","-7.93%"
"2022년 05월 23일","2.90","2.88","2.97","2.71","943.82K","3.20%"
"2022년 05월 20일","2.81","2.92","3.00","2.76","1.20M","-2.43%"
"2022년 05월 19일","2.88","2.91","3.11","2.85","937.37K","-1.71%"
"2022년 05월 18일","2.93","2.97","3.09","2.89","986.65K","-6.09%"
"2022년 05월 17일","3.12","3.15","3.32","3.05","695.95K","0.65%"
"2022년 05월 16일","3.10","3.21","3.32","3.08","721.51K","-3.13%"
"2022년 05월 13일","3.20","3.07","3.35","3.06","1.60M","8.47%"
"2022년 05월 12일","2.95","2.52","3.11","2.50","1.56M","13.03%"
"2022년 05월 11일","2.61","2.95","3.36","2.60","1.18M","-4.04%"
"2022년 05월 10일","2.72","2.83","3.09","2.69","1.13M","-1.45%"
"2022년 05월 09일","2.76","2.94","3.03","2.71","1.08M","-6.44%"
"2022년 05월 06일","2.95","3.04","3.08","2.88","768.57K","-4.53%"
"2022년 05월 05일","3.09","3.43","3.46","3.04","663.70K","-11.71%"
"2022년 05월 04일","3.50","3.36","3.57","3.18","968.95K","6.06%"
"2022년 05월 03일","3.30","3.34","3.46","3.11","1.39M","-2.08%"
"2022년 05월 02일","3.37","3.47","3.67","3.21","945.81K","-2.88%"
"2022년 04월 29일","3.47","3.79","3.85","3.45","760.91K","-8.20%"
