"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","101.59","103.71","103.84","100.13","13.75M","-4.01%"
"2022년 05월 23일","105.83","103.76","106.03","101.56","13.57M","3.33%"
"2022년 05월 20일","102.42","104.49","104.80","100.05","15.65M","-0.70%"
"2022년 05월 19일","103.14","103.43","105.30","102.96","11.28M","-1.11%"
"2022년 05월 18일","104.30","107.38","107.66","103.88","11.17M","-3.99%"
"2022년 05월 17일","108.64","107.73","108.79","106.30","11.54M","3.29%"
"2022년 05월 16일","105.18","107.46","107.62","104.85","11.82M","-2.00%"
"2022년 05월 13일","107.33","105.36","107.69","105.31","16.71M","2.90%"
"2022년 05월 12일","104.31","102.90","105.00","99.47","36.20M","-0.86%"
"2022년 05월 11일","105.21","107.90","110.07","104.79","23.20M","-2.29%"
"2022년 05월 10일","107.68","109.83","110.70","106.14","15.58M","0.65%"
"2022년 05월 09일","106.98","108.11","110.74","106.48","17.94M","-3.00%"
"2022년 05월 06일","110.29","111.77","112.09","108.30","12.53M","-2.06%"
"2022년 05월 05일","112.61","114.74","115.27","111.48","12.72M","-3.08%"
"2022년 05월 04일","116.19","113.37","116.44","111.83","11.42M","2.32%"
"2022년 05월 03일","113.55","114.05","114.83","112.69","11.15M","0.04%"
"2022년 05월 02일","113.50","111.71","113.66","111.01","13.82M","1.68%"
"2022년 04월 29일","111.63","115.20","115.99","111.36","16.91M","-3.17%"
"2022년 04월 28일","115.29","115.22","116.00","112.69","23.05M","0.07%"
"2022년 04월 27일","115.21","115.43","116.90","113.39","15.55M","-0.48%"
"2022년 04월 26일","115.77","119.15","119.15","115.64","16.12M","-3.48%"
"2022년 04월 25일","119.95","117.66","120.33","116.75","16.37M","1.42%"
