"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","133.83","132.98","134.62","130.43","2.71M","-2.14%"
"2022년 05월 23일","136.76","135.62","136.87","133.16","2.14M","1.95%"
"2022년 05월 20일","134.14","136.87","137.43","132.16","4.69M","-1.43%"
"2022년 05월 19일","136.08","135.00","138.01","132.38","2.99M","-0.32%"
"2022년 05월 18일","136.52","141.09","141.79","135.96","1.94M","-4.78%"
"2022년 05월 17일","143.38","141.41","143.84","140.79","1.98M","3.17%"
"2022년 05월 16일","138.98","140.56","140.74","137.55","2.55M","-1.66%"
"2022년 05월 13일","141.33","142.85","143.44","139.65","2.81M","-0.30%"
"2022년 05월 12일","141.75","139.47","142.53","138.69","2.23M","0.67%"
"2022년 05월 11일","140.81","141.13","144.30","140.22","1.82M","-0.12%"
"2022년 05월 10일","140.98","149.01","149.91","140.53","3.49M","-4.72%"
"2022년 05월 09일","147.96","145.34","149.31","145.05","3.03M","0.45%"
"2022년 05월 06일","147.29","147.79","148.46","144.45","2.10M","-0.73%"
"2022년 05월 05일","148.38","148.72","150.88","147.10","3.87M","-1.03%"
"2022년 05월 04일","149.93","146.80","150.71","143.98","2.56M","2.29%"
"2022년 05월 03일","146.58","144.51","150.96","144.51","3.00M","0.05%"
"2022년 05월 02일","146.50","144.99","147.02","143.41","2.73M","1.02%"
"2022년 04월 29일","145.02","147.75","149.83","144.77","2.47M","-1.93%"
"2022년 04월 28일","147.88","146.10","148.08","144.28","2.47M","1.49%"
"2022년 04월 27일","145.71","143.75","146.89","143.47","1.93M","1.34%"
"2022년 04월 26일","143.78","145.18","146.95","143.50","2.31M","-2.24%"
"2022년 04월 25일","147.07","145.90","147.09","142.72","1.91M","0.71%"
