"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","6.080","6.150","6.185","5.990","124.24K","1.16%"
"2022년 05월 26일","6.010","5.770","6.250","5.640","237.87K","3.98%"
"2022년 05월 25일","5.780","5.500","6.030","5.500","302.82K","4.90%"
"2022년 05월 24일","5.510","5.200","5.530","5.160","254.63K","8.68%"
"2022년 05월 23일","5.070","4.960","5.170","4.960","75.85K","2.22%"
"2022년 05월 20일","4.960","5.240","5.240","4.940","100.88K","-4.43%"
"2022년 05월 19일","5.190","5.220","5.340","5.050","95.33K","-0.57%"
"2022년 05월 18일","5.220","5.260","5.380","5.190","89.63K","-1.32%"
"2022년 05월 17일","5.290","5.270","5.405","5.160","103.51K","1.54%"
"2022년 05월 16일","5.210","5.440","5.490","5.120","163.23K","-5.44%"
"2022년 05월 13일","5.510","5.350","5.565","5.275","91.38K","4.75%"
"2022년 05월 12일","5.260","5.360","5.520","5.120","143.96K","-2.77%"
"2022년 05월 11일","5.410","5.790","5.810","5.229","174.62K","-5.75%"
"2022년 05월 10일","5.740","6.210","6.270","5.650","207.49K","-7.57%"
"2022년 05월 09일","6.210","6.580","6.710","6.120","206.50K","-8.68%"
"2022년 05월 06일","6.800","6.660","6.895","6.550","59.56K","2.10%"
"2022년 05월 05일","6.660","6.760","6.850","6.630","174.89K","-2.06%"
"2022년 05월 04일","6.800","6.860","6.874","6.350","329.96K","-1.16%"
"2022년 05월 03일","6.880","6.920","6.950","6.660","97.99K","-1.29%"
"2022년 05월 02일","6.970","7.100","7.150","6.930","101.12K","-2.52%"
"2022년 04월 29일","7.150","7.000","7.220","6.930","82.94K","2.00%"
