"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","22.75","22.85","23.05","22.61","15.56K","-0.04%"
"2022년 05월 26일","22.76","22.87","23.64","22.68","36.20K","-0.22%"
"2022년 05월 25일","22.81","22.85","23.07","22.72","24.60K","0.04%"
"2022년 05월 24일","22.80","22.73","23.15","22.50","26.64K","-0.22%"
"2022년 05월 23일","22.85","22.76","23.31","22.76","26.64K","0.57%"
"2022년 05월 20일","22.72","22.85","23.29","22.72","37.91K","-0.70%"
"2022년 05월 19일","22.88","22.79","23.39","22.79","24.43K","-0.35%"
"2022년 05월 18일","22.96","23.01","23.72","22.95","7.03K","-1.31%"
"2022년 05월 17일","23.26","23.05","23.68","22.86","10.41K","1.06%"
"2022년 05월 16일","23.02","23.16","23.74","22.98","8.68K","-1.37%"
"2022년 05월 13일","23.34","23.24","23.91","22.80","24.85K","1.66%"
"2022년 05월 12일","22.96","23.29","23.44","22.76","13.68K","-2.55%"
"2022년 05월 11일","23.56","23.20","23.67","23.02","5.45K","1.90%"
"2022년 05월 10일","23.12","23.28","23.39","23.02","10.78K","-0.77%"
"2022년 05월 09일","23.30","23.20","23.60","23.20","9.96K","-0.21%"
"2022년 05월 06일","23.35","23.15","23.35","23.08","13.80K","1.57%"
"2022년 05월 05일","22.99","23.35","23.35","22.82","22.78K","-1.29%"
"2022년 05월 04일","23.29","23.15","23.61","23.05","13.89K","0.65%"
"2022년 05월 03일","23.14","23.26","23.50","23.14","10.41K","0.17%"
"2022년 05월 02일","23.10","23.03","23.37","23.03","9.76K","-1.28%"
"2022년 04월 29일","23.40","23.50","23.50","23.23","17.41K","-0.43%"
