"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","10.98","11.00","11.00","10.90","3.90K","-0.27%"
"2022년 05월 26일","11.01","10.83","11.06","10.60","14.26K","0.82%"
"2022년 05월 25일","10.92","10.81","10.94","10.65","10.58K","0.00%"
"2022년 05월 24일","10.92","10.82","10.92","10.67","8.82K","0.18%"
"2022년 05월 23일","10.90","10.79","10.90","10.75","4.68K","0.37%"
"2022년 05월 20일","10.86","10.90","10.90","10.55","2.77K","-0.37%"
"2022년 05월 19일","10.90","10.76","11.28","10.75","10.58K","-0.46%"
"2022년 05월 18일","10.95","11.10","11.48","10.91","17.13K","-1.35%"
"2022년 05월 17일","11.10","11.18","11.25","11.10","6.81K","-1.68%"
"2022년 05월 16일","11.29","11.40","11.60","11.00","17.33K","-2.76%"
"2022년 05월 13일","11.61","11.30","11.87","11.00","18.26K","3.61%"
"2022년 05월 12일","11.20","11.38","11.38","10.51","38.70K","1.86%"
"2022년 05월 11일","11.00","11.17","11.65","10.60","10.40K","1.95%"
"2022년 05월 10일","10.79","10.55","10.92","10.48","16.09K","2.66%"
"2022년 05월 09일","10.51","10.54","10.80","10.39","17.74K","-5.91%"
"2022년 05월 06일","11.17","11.15","11.20","11.15","0.83K","4.98%"
"2022년 05월 05일","10.64","10.90","10.90","10.64","1.07K","-3.71%"
"2022년 05월 04일","11.05","11.05","11.05","11.05","0.16K","-0.63%"
"2022년 05월 03일","11.12","11.18","11.18","10.75","1.34K","-0.54%"
"2022년 05월 02일","11.18","11.21","11.21","10.53","1.79K","-2.61%"
"2022년 04월 29일","11.48","11.49","11.49","11.45","2.82K","1.59%"
