"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","90.42","89.30","90.42","88.99","253.33K","1.47%"
"2022년 05월 26일","89.11","89.50","90.72","88.93","203.85K","0.17%"
"2022년 05월 25일","88.96","87.90","90.07","87.90","397.08K","1.15%"
"2022년 05월 24일","87.95","88.89","89.07","87.01","389.28K","-1.08%"
"2022년 05월 23일","88.91","89.01","89.81","88.17","354.57K","0.53%"
"2022년 05월 20일","88.44","88.13","88.47","86.67","250.36K","0.44%"
"2022년 05월 19일","88.05","87.46","88.73","86.26","208.16K","0.32%"
"2022년 05월 18일","87.77","88.45","90.65","87.59","300.85K","-1.10%"
"2022년 05월 17일","88.75","88.52","89.03","87.87","185.85K","0.97%"
"2022년 05월 16일","87.90","87.13","88.54","86.18","312.13K","0.68%"
"2022년 05월 13일","87.31","87.57","87.82","86.09","323.81K","-0.07%"
"2022년 05월 12일","87.37","88.38","89.90","86.60","367.78K","-1.39%"
"2022년 05월 11일","88.60","89.53","92.10","88.26","386.73K","-1.16%"
"2022년 05월 10일","89.64","91.88","92.71","89.35","654.37K","-2.27%"
"2022년 05월 09일","91.72","93.79","94.95","91.38","464.15K","-2.95%"
"2022년 05월 06일","94.51","97.80","98.73","94.17","554.62K","-3.75%"
"2022년 05월 05일","98.19","98.87","98.87","94.51","538.70K","3.31%"
"2022년 05월 04일","95.04","95.65","95.65","93.06","688.59K","0.56%"
"2022년 05월 03일","94.51","94.41","95.29","93.61","575.76K","-1.88%"
"2022년 05월 02일","96.32","96.34","97.30","95.67","557.01K","0.36%"
"2022년 04월 29일","95.97","98.55","98.91","95.88","363.57K","-2.62%"
