"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","5.200","5.200","5.200","5.200","1.09K","-0.95%"
"2022년 05월 26일","5.250","5.180","5.420","5.120","5.10K","0.82%"
"2022년 05월 25일","5.207","4.924","5.207","4.924","4.32K","6.49%"
"2022년 05월 24일","4.890","4.890","4.890","4.890","0.44K","-1.29%"
"2022년 05월 23일","4.954","4.700","4.964","4.663","5.42K","6.76%"
"2022년 05월 20일","4.640","4.840","4.850","4.400","9.05K","-4.33%"
"2022년 05월 19일","4.850","4.850","4.850","4.850","-","1.25%"
"2022년 05월 18일","4.790","4.990","4.990","4.733","2.46K","0.88%"
"2022년 05월 17일","4.748","5.010","5.010","4.730","5.92K","-8.15%"
"2022년 05월 16일","5.170","5.110","5.170","5.002","2.15K","1.37%"
"2022년 05월 13일","5.100","4.985","5.294","4.960","5.16K","5.15%"
"2022년 05월 12일","4.850","4.560","5.080","4.560","7.83K","2.97%"
"2022년 05월 11일","4.710","5.100","5.310","4.710","4.29K","-6.08%"
"2022년 05월 10일","5.015","4.900","5.470","4.400","6.84K","2.98%"
"2022년 05월 09일","4.870","5.190","5.190","4.570","13.54K","-6.88%"
"2022년 05월 06일","5.230","5.300","5.430","5.230","3.89K","0.00%"
"2022년 05월 05일","5.230","5.850","6.000","5.230","9.71K","-10.60%"
"2022년 05월 04일","5.850","5.930","6.150","5.770","9.86K","-5.87%"
"2022년 05월 03일","6.215","6.100","6.390","5.900","23.08K","1.72%"
"2022년 05월 02일","6.110","6.211","6.237","6.100","5.31K","-2.47%"
