"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","6.990","6.710","6.990","6.710","28.94K","5.75%"
"2022년 05월 26일","6.610","6.530","6.700","6.460","21.32K","2.48%"
"2022년 05월 25일","6.450","6.600","6.640","6.420","29.11K","-3.30%"
"2022년 05월 24일","6.670","6.790","6.900","6.650","31.41K","-1.19%"
"2022년 05월 23일","6.750","6.820","6.880","6.630","22.37K","-2.17%"
"2022년 05월 20일","6.900","7.210","7.210","6.620","48.89K","-2.82%"
"2022년 05월 19일","7.100","6.746","7.180","6.746","21.08K","2.16%"
"2022년 05월 18일","6.950","6.980","7.000","6.770","23.46K","1.76%"
"2022년 05월 17일","6.830","6.780","6.980","6.690","25.59K","0.59%"
"2022년 05월 16일","6.790","6.650","6.910","6.600","26.84K","2.26%"
"2022년 05월 13일","6.640","6.424","6.870","6.424","51.05K","3.91%"
"2022년 05월 12일","6.390","6.300","6.652","6.200","43.25K","1.11%"
"2022년 05월 11일","6.320","6.970","6.970","6.300","72.21K","-8.01%"
"2022년 05월 10일","6.870","6.950","7.100","6.760","53.75K","0.44%"
"2022년 05월 09일","6.840","7.520","7.520","6.740","83.21K","-9.28%"
"2022년 05월 06일","7.540","7.250","7.540","7.060","31.37K","2.86%"
"2022년 05월 05일","7.330","7.430","7.450","7.200","57.82K","-0.81%"
"2022년 05월 04일","7.390","7.440","7.500","7.150","41.69K","1.09%"
"2022년 05월 03일","7.310","6.850","7.440","6.700","53.35K","6.40%"
"2022년 05월 02일","6.870","6.990","6.990","6.520","106.26K","-0.87%"
"2022년 04월 29일","6.930","6.940","7.036","6.835","75.73K","-0.29%"
