"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","305.96","303.71","307.67","299.80","2.80M","1.11%"
"2022년 05월 23일","302.60","300.60","304.92","299.35","2.86M","1.25%"
"2022년 05월 20일","298.85","290.73","299.24","288.92","3.13M","4.39%"
"2022년 05월 19일","286.27","293.58","293.58","284.37","3.16M","-3.02%"
"2022년 05월 18일","295.19","300.00","302.60","294.03","2.15M","-2.06%"
"2022년 05월 17일","301.40","300.00","303.40","293.39","2.54M","0.67%"
"2022년 05월 16일","299.38","292.11","309.44","291.60","5.11M","2.66%"
"2022년 05월 13일","291.63","292.63","292.80","286.51","2.34M","-0.06%"
"2022년 05월 12일","291.80","283.33","291.99","283.33","2.35M","1.78%"
"2022년 05월 11일","286.69","283.67","294.50","283.00","2.62M","0.35%"
"2022년 05월 10일","285.70","292.00","293.43","285.00","3.13M","-1.22%"
"2022년 05월 09일","289.23","293.51","294.93","286.65","3.46M","-2.58%"
"2022년 05월 06일","296.90","290.17","298.25","288.52","2.93M","1.55%"
"2022년 05월 05일","292.37","293.42","294.99","288.30","3.12M","-0.86%"
"2022년 05월 04일","294.90","288.50","296.98","284.12","2.72M","2.37%"
"2022년 05월 03일","288.07","288.63","289.81","284.11","2.11M","-0.51%"
"2022년 05월 02일","289.56","291.23","292.84","284.28","2.78M","-0.88%"
"2022년 04월 29일","292.13","295.79","297.31","289.14","3.91M","-1.73%"
"2022년 04월 28일","297.27","295.99","300.51","288.56","5.88M","4.27%"
"2022년 04월 27일","285.09","283.50","288.08","280.68","2.30M","0.80%"
"2022년 04월 26일","282.83","284.71","290.21","282.79","2.16M","-0.83%"
"2022년 04월 25일","285.20","278.75","285.95","276.83","2.41M","2.32%"
