"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","5.79","5.57","5.84","5.52","141.17K","5.46%"
"2022년 05월 26일","5.49","5.22","5.58","5.21","145.16K","5.17%"
"2022년 05월 25일","5.22","5.11","5.31","5.09","129.73K","1.56%"
"2022년 05월 24일","5.14","5.09","5.20","4.97","165.40K","-0.39%"
"2022년 05월 23일","5.16","5.21","5.30","5.12","131.81K","-0.77%"
"2022년 05월 20일","5.20","5.38","5.44","5.01","171.01K","-0.95%"
"2022년 05월 19일","5.25","5.25","5.42","5.22","204.99K","-0.19%"
"2022년 05월 18일","5.26","5.42","5.56","5.22","163.28K","-4.54%"
"2022년 05월 17일","5.51","5.43","5.60","5.41","139.52K","3.57%"
"2022년 05월 16일","5.32","5.40","5.47","5.30","145.94K","-2.74%"
"2022년 05월 13일","5.47","5.29","5.62","5.24","217.03K","5.60%"
"2022년 05월 12일","5.18","5.21","5.38","5.00","289.26K","-2.45%"
"2022년 05월 11일","5.31","5.45","5.68","5.27","164.17K","-2.93%"
"2022년 05월 10일","5.47","5.52","5.54","5.23","184.70K","0.74%"
"2022년 05월 09일","5.43","5.63","5.69","5.40","191.90K","-5.24%"
"2022년 05월 06일","5.73","5.81","5.87","5.65","90.93K","-2.39%"
"2022년 05월 05일","5.87","6.03","6.03","5.73","97.16K","-4.71%"
"2022년 05월 04일","6.16","6.09","6.19","5.78","112.40K","1.99%"
"2022년 05월 03일","6.04","5.85","6.15","5.78","151.82K","2.03%"
"2022년 05월 02일","5.92","5.95","6.11","5.81","207.96K","0.34%"
"2022년 04월 29일","5.90","6.30","6.47","5.80","229.29K","-0.84%"
