"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","68.99","69.02","69.40","67.76","1.89M","-0.59%"
"2022년 05월 23일","69.40","68.94","69.62","68.32","2.05M","1.42%"
"2022년 05월 20일","68.43","68.38","68.53","66.71","2.70M","1.24%"
"2022년 05월 19일","67.59","67.35","68.39","66.99","3.20M","-0.56%"
"2022년 05월 18일","67.97","70.20","70.74","67.79","2.01M","-4.42%"
"2022년 05월 17일","71.11","71.03","71.27","70.18","1.80M","2.26%"
"2022년 05월 16일","69.54","69.76","70.19","68.99","1.57M","-1.32%"
"2022년 05월 13일","70.47","69.28","70.96","69.15","1.91M","2.68%"
"2022년 05월 12일","68.63","67.99","68.96","67.40","2.28M","0.38%"
"2022년 05월 11일","68.37","68.84","70.14","68.24","2.36M","-0.97%"
"2022년 05월 10일","69.04","70.34","70.54","68.15","2.28M","-0.07%"
"2022년 05월 09일","69.09","69.42","70.47","68.83","2.45M","-1.89%"
"2022년 05월 06일","70.42","70.52","70.82","69.14","2.40M","-1.04%"
"2022년 05월 05일","71.16","73.08","73.23","70.37","1.68M","-3.76%"
"2022년 05월 04일","73.94","72.15","74.00","71.47","2.22M","2.74%"
"2022년 05월 03일","71.97","72.05","72.50","71.51","1.59M","0.53%"
"2022년 05월 02일","71.59","71.40","72.16","69.87","2.55M","0.13%"
"2022년 04월 29일","71.50","72.89","73.63","71.40","3.81M","-2.79%"
"2022년 04월 28일","73.55","71.33","73.88","70.94","3.84M","4.83%"
"2022년 04월 27일","70.16","69.39","71.82","68.73","2.73M","2.35%"
"2022년 04월 26일","68.55","70.34","70.56","68.49","2.85M","-3.05%"
"2022년 04월 25일","70.71","69.07","70.84","68.33","2.35M","1.83%"
