"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","16.24","16.24","16.24","16.24","-","-0.28%"
"2022년 05월 26일","16.28","16.22","16.28","16.22","1.71K","-0.21%"
"2022년 05월 25일","16.32","16.30","16.32","16.30","1.15K","0.23%"
"2022년 05월 24일","16.28","16.28","16.28","16.28","0.41K","0.13%"
"2022년 05월 23일","16.26","16.26","16.26","16.26","-","-0.37%"
"2022년 05월 20일","16.32","16.32","16.32","16.32","0.90K","0.55%"
"2022년 05월 19일","16.23","16.34","16.34","16.22","0.96K","-0.67%"
"2022년 05월 18일","16.34","16.34","16.34","16.34","0.38K","0.00%"
"2022년 05월 17일","16.34","16.34","16.34","16.34","0.32K","0.12%"
"2022년 05월 16일","16.32","16.32","16.32","16.32","0.16K","-0.06%"
"2022년 05월 13일","16.33","16.34","16.34","16.33","0.43K","0.62%"
"2022년 05월 12일","16.23","16.23","16.23","16.23","-","-0.43%"
"2022년 05월 11일","16.30","16.24","16.30","16.24","0.97K","-0.18%"
"2022년 05월 10일","16.33","16.33","16.33","16.28","0.44K","-0.31%"
"2022년 05월 09일","16.38","16.38","16.39","16.22","2.03K","0.80%"
"2022년 05월 06일","16.25","16.25","16.25","16.25","0.21K","-0.37%"
"2022년 05월 05일","16.31","16.38","16.39","16.31","0.92K","-0.43%"
"2022년 05월 04일","16.38","16.38","16.39","16.38","1.61K","0.18%"
"2022년 05월 03일","16.35","16.35","16.35","16.35","0.22K","-0.24%"
"2022년 05월 02일","16.39","16.39","16.39","16.39","0.48K","0.24%"
