"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 20일","70.83","71.10","71.46","69.35","2.93M","0.73%"
"2022년 05월 19일","70.32","70.11","71.55","69.43","3.24M","0.13%"
"2022년 05월 18일","70.23","74.22","74.66","70.13","4.77M","-6.50%"
"2022년 05월 17일","75.11","73.79","75.29","73.65","3.05M","3.49%"
"2022년 05월 16일","72.58","73.47","73.58","72.39","4.43M","-1.09%"
"2022년 05월 13일","73.38","73.89","74.73","72.98","3.45M","-0.22%"
"2022년 05월 12일","73.54","71.82","73.86","71.76","3.45M","1.60%"
"2022년 05월 11일","72.38","74.57","74.67","72.11","3.22M","-2.77%"
"2022년 05월 10일","74.44","77.24","77.61","73.92","3.43M","-2.40%"
"2022년 05월 09일","76.27","74.76","77.49","74.26","4.52M","0.99%"
"2022년 05월 06일","75.52","73.03","75.67","72.60","3.90M","2.61%"
"2022년 05월 05일","73.60","78.75","80.07","72.49","5.03M","-12.75%"
"2022년 05월 04일","84.36","81.85","84.41","80.22","4.09M","3.45%"
"2022년 05월 03일","81.55","80.99","81.91","80.79","3.68M","1.09%"
"2022년 05월 02일","80.67","80.95","81.86","79.46","4.74M","-0.28%"
"2022년 04월 29일","80.90","83.77","84.00","80.87","4.30M","-3.66%"
"2022년 04월 28일","83.97","83.70","84.43","82.78","3.23M","1.36%"
"2022년 04월 27일","82.84","82.25","84.45","82.25","3.26M","0.69%"
"2022년 04월 26일","82.27","83.72","83.90","81.97","3.34M","-2.59%"
"2022년 04월 25일","84.46","83.16","84.52","82.52","3.72M","1.56%"
"2022년 04월 22일","83.16","86.31","86.35","82.93","3.16M","-3.77%"
