"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","2.920","2.965","2.990","2.890","4.38K","-2.67%"
"2022년 05월 26일","3.000","2.850","3.030","2.850","4.01K","3.45%"
"2022년 05월 25일","2.900","2.740","2.900","2.700","8.40K","3.94%"
"2022년 05월 24일","2.790","2.810","2.810","2.748","5.61K","-2.78%"
"2022년 05월 23일","2.870","2.800","2.924","2.800","1.10K","2.86%"
"2022년 05월 20일","2.790","2.890","2.920","2.790","5.13K","-3.13%"
"2022년 05월 19일","2.880","2.930","2.950","2.880","2.37K","1.77%"
"2022년 05월 18일","2.830","2.810","2.980","2.800","2.38K","-0.45%"
"2022년 05월 17일","2.843","2.970","2.989","2.843","5.02K","-2.31%"
"2022년 05월 16일","2.910","2.860","2.940","2.850","3.53K","-4.28%"
"2022년 05월 13일","3.040","2.760","3.040","2.760","20.95K","10.14%"
"2022년 05월 12일","2.760","2.730","2.760","2.670","8.50K","2.99%"
"2022년 05월 11일","2.680","2.750","2.813","2.650","20.91K","-2.55%"
"2022년 05월 10일","2.750","2.790","2.850","2.750","8.26K","-2.48%"
"2022년 05월 09일","2.820","2.895","2.937","2.800","8.80K","-1.05%"
"2022년 05월 06일","2.850","2.840","2.960","2.820","11.17K","-1.72%"
"2022년 05월 05일","2.900","2.899","2.952","2.830","7.92K","-2.92%"
"2022년 05월 04일","2.987","2.890","3.000","2.888","7.28K","3.39%"
"2022년 05월 03일","2.889","2.980","2.980","2.840","2.92K","-0.92%"
"2022년 05월 02일","2.916","2.850","2.916","2.850","2.17K","1.25%"
"2022년 04월 29일","2.880","2.900","2.910","2.862","2.74K","-3.68%"
