"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","94.00","92.38","96.40","92.38","1.11K","1.08%"
"2022년 05월 26일","93.00","93.00","93.00","93.00","0.58K","3.28%"
"2022년 05월 25일","90.05","96.83","96.83","88.03","3.35K","0.70%"
"2022년 05월 24일","89.43","89.43","89.43","89.43","1.16K","-5.67%"
"2022년 05월 23일","94.80","94.06","95.92","91.00","5.91K","3.19%"
"2022년 05월 20일","91.87","92.25","92.25","91.31","3.37K","-2.78%"
"2022년 05월 19일","94.50","94.16","94.50","90.30","1.43K","1.88%"
"2022년 05월 18일","92.76","94.59","94.80","92.48","1.58K","-1.78%"
"2022년 05월 17일","94.44","94.10","94.44","94.10","0.98K","2.11%"
"2022년 05월 16일","92.49","92.70","92.70","92.49","0.75K","-0.55%"
"2022년 05월 13일","93.00","90.00","93.36","90.00","2.48K","4.91%"
"2022년 05월 12일","88.65","88.00","92.36","88.00","1.81K","-0.25%"
"2022년 05월 11일","88.88","88.88","88.88","88.88","0.35K","-1.23%"
"2022년 05월 10일","89.98","89.98","89.98","89.98","0.76K","1.56%"
"2022년 05월 09일","88.60","88.94","91.00","88.60","2.57K","-2.67%"
"2022년 05월 06일","91.03","94.60","94.97","91.01","2.66K","-2.12%"
"2022년 05월 05일","93.00","93.64","93.64","93.00","0.65K","-1.23%"
"2022년 05월 04일","94.16","93.88","94.25","92.72","1.21K","0.71%"
"2022년 05월 03일","93.50","94.87","94.87","93.50","4.12K","-1.22%"
"2022년 05월 02일","94.65","92.80","99.29","90.00","6.41K","-2.43%"
