"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","2.700","2.750","2.769","2.680","79.58K","-1.46%"
"2022년 05월 26일","2.740","2.640","2.779","2.640","124.87K","4.58%"
"2022년 05월 25일","2.620","2.620","2.700","2.550","145.56K","0.00%"
"2022년 05월 24일","2.620","2.610","2.660","2.511","113.75K","0.77%"
"2022년 05월 23일","2.600","2.550","2.620","2.540","140.16K","0.78%"
"2022년 05월 20일","2.580","2.930","2.930","2.570","221.52K","-9.47%"
"2022년 05월 19일","2.850","2.570","3.020","2.570","644.24K","10.04%"
"2022년 05월 18일","2.590","2.490","2.720","2.490","240.59K","5.28%"
"2022년 05월 17일","2.460","2.320","2.480","2.295","870.98K","11.82%"
"2022년 05월 16일","2.200","2.410","2.430","2.160","264.98K","-7.17%"
"2022년 05월 13일","2.370","2.360","2.420","2.300","504.13K","0.85%"
"2022년 05월 12일","2.350","2.530","2.650","2.320","609.08K","-8.20%"
"2022년 05월 11일","2.560","3.130","3.130","2.520","465.67K","-18.73%"
"2022년 05월 10일","3.150","3.180","3.300","3.120","385.21K","0.32%"
"2022년 05월 09일","3.140","3.120","3.170","3.030","344.19K","-0.32%"
"2022년 05월 06일","3.150","2.990","3.180","2.920","157.42K","1.61%"
"2022년 05월 05일","3.100","3.110","3.120","3.030","246.38K","-0.96%"
"2022년 05월 04일","3.130","2.900","3.150","2.855","292.37K","7.38%"
"2022년 05월 03일","2.915","2.830","2.970","2.730","142.18K","4.11%"
"2022년 05월 02일","2.800","3.010","3.020","2.725","291.49K","-7.59%"
"2022년 04월 29일","3.030","3.050","3.150","2.980","313.94K","-0.66%"
