"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","8.800","8.590","8.930","8.590","14.88K","4.27%"
"2022년 05월 26일","8.440","8.190","8.695","8.190","26.88K","4.98%"
"2022년 05월 25일","8.040","7.950","8.080","7.901","7.76K","1.52%"
"2022년 05월 24일","7.920","8.050","8.050","7.760","14.87K","-1.98%"
"2022년 05월 23일","8.080","8.000","8.103","7.960","9.03K","0.37%"
"2022년 05월 20일","8.050","8.560","8.560","7.750","40.86K","-5.74%"
"2022년 05월 19일","8.540","8.110","8.650","8.010","34.81K","5.56%"
"2022년 05월 18일","8.090","8.070","8.312","7.990","49.28K","0.12%"
"2022년 05월 17일","8.080","8.000","8.370","8.000","28.27K","2.15%"
"2022년 05월 16일","7.910","8.190","8.850","7.865","78.75K","-3.30%"
"2022년 05월 13일","8.180","7.320","8.240","7.320","38.21K","12.83%"
"2022년 05월 12일","7.250","7.000","7.348","6.990","174.08K","-5.72%"
"2022년 05월 11일","7.690","8.110","8.320","7.475","155.14K","-5.30%"
"2022년 05월 10일","8.120","8.220","9.030","8.000","47.67K","0.25%"
"2022년 05월 09일","8.100","8.400","8.495","8.090","33.84K","-4.93%"
"2022년 05월 06일","8.520","8.900","9.115","8.290","57.05K","-3.40%"
"2022년 05월 05일","8.820","9.430","9.430","8.700","34.98K","-6.96%"
"2022년 05월 04일","9.480","9.230","9.651","9.230","23.25K","3.83%"
"2022년 05월 03일","9.130","9.300","9.330","8.980","40.25K","-1.19%"
"2022년 05월 02일","9.240","9.240","9.470","8.710","22.68K","1.43%"
"2022년 04월 29일","9.110","9.270","9.598","9.050","40.29K","-3.39%"
