"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","9.770","9.720","9.850","9.610","334.52K","1.45%"
"2022년 05월 26일","9.630","9.360","9.770","9.280","696.04K","3.22%"
"2022년 05월 25일","9.330","9.340","9.490","9.290","873.50K","-0.85%"
"2022년 05월 24일","9.410","9.250","9.470","9.165","497.59K","1.51%"
"2022년 05월 23일","9.270","9.330","9.330","9.090","589.71K","-0.32%"
"2022년 05월 20일","9.300","9.360","9.370","9.045","468.35K","0.76%"
"2022년 05월 19일","9.230","9.090","9.370","8.970","600.73K","0.33%"
"2022년 05월 18일","9.200","9.090","9.490","8.950","822.69K","-1.08%"
"2022년 05월 17일","9.300","9.010","9.340","9.010","553.38K","3.91%"
"2022년 05월 16일","8.950","9.140","9.240","8.910","480.25K","-3.56%"
"2022년 05월 13일","9.280","8.940","9.350","8.940","746.37K","5.10%"
"2022년 05월 12일","8.830","8.760","9.140","8.635","514.57K","0.00%"
"2022년 05월 11일","8.830","8.970","9.230","8.790","410.45K","-1.78%"
"2022년 05월 10일","8.990","8.850","9.060","8.725","848.34K","2.16%"
"2022년 05월 09일","8.800","9.040","9.090","8.750","608.43K","-3.93%"
"2022년 05월 06일","9.160","9.220","9.410","9.070","579.49K","-2.03%"
"2022년 05월 05일","9.350","9.570","9.610","9.245","681.45K","-4.30%"
"2022년 05월 04일","9.770","9.780","9.920","9.420","972.44K","0.62%"
"2022년 05월 03일","9.710","9.740","9.990","9.280","1.83M","12.91%"
"2022년 05월 02일","8.600","8.360","8.655","8.360","775.53K","3.61%"
"2022년 04월 29일","8.300","8.490","8.615","8.250","778.38K","-3.04%"
