"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","16.65","16.53","16.70","16.50","72.22K","1.22%"
"2022년 05월 26일","16.45","16.35","16.56","16.35","80.60K","0.80%"
"2022년 05월 25일","16.32","16.27","16.42","16.11","118.21K","0.80%"
"2022년 05월 24일","16.19","16.17","16.26","15.98","98.37K","0.25%"
"2022년 05월 23일","16.15","16.16","16.18","16.06","49.65K","0.94%"
"2022년 05월 20일","16.00","16.21","16.25","15.94","87.15K","-1.05%"
"2022년 05월 19일","16.17","16.29","16.41","16.10","60.18K","-0.55%"
"2022년 05월 18일","16.26","16.50","16.55","16.18","39.95K","-1.33%"
"2022년 05월 17일","16.48","16.55","16.55","16.36","81.76K","1.10%"
"2022년 05월 16일","16.30","16.24","16.39","16.21","77.91K","-0.24%"
"2022년 05월 13일","16.34","16.31","16.39","16.16","50.73K","0.31%"
"2022년 05월 12일","16.29","16.32","16.43","16.11","56.87K","-0.12%"
"2022년 05월 11일","16.31","16.32","16.38","16.20","59.29K","0.06%"
"2022년 05월 10일","16.30","16.70","16.74","16.19","68.03K","-1.39%"
"2022년 05월 09일","16.53","16.63","16.67","16.34","53.97K","-0.66%"
"2022년 05월 06일","16.64","16.61","16.73","16.55","28.39K","-0.36%"
"2022년 05월 05일","16.70","16.94","16.94","16.60","38.85K","-1.76%"
"2022년 05월 04일","17.00","16.97","17.04","16.81","47.73K","0.35%"
"2022년 05월 03일","16.94","17.10","17.13","16.88","54.09K","-0.41%"
"2022년 05월 02일","17.01","17.01","17.17","16.95","64.58K","-0.76%"
"2022년 04월 29일","17.14","17.25","17.36","17.04","46.05K","-0.23%"
