"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 20일","1.570","1.570","1.610","1.490","2.40M","1.95%"
"2022년 05월 19일","1.540","1.520","1.570","1.460","3.80M","0.65%"
"2022년 05월 18일","1.530","1.610","1.620","1.510","4.43M","-7.27%"
"2022년 05월 17일","1.650","1.630","1.660","1.570","5.26M","4.43%"
"2022년 05월 16일","1.580","1.630","1.660","1.560","3.65M","-3.07%"
"2022년 05월 13일","1.630","1.610","1.710","1.580","5.14M","5.16%"
"2022년 05월 12일","1.550","1.500","1.650","1.480","8.78M","2.65%"
"2022년 05월 11일","1.510","1.700","1.750","1.500","7.17M","-9.04%"
"2022년 05월 10일","1.660","1.730","1.770","1.580","6.21M","9.21%"
"2022년 05월 09일","1.520","1.610","1.660","1.500","9.42M","-8.98%"
"2022년 05월 06일","1.670","1.740","1.740","1.660","3.55M","-5.11%"
"2022년 05월 05일","1.760","1.860","1.870","1.710","4.60M","-7.85%"
"2022년 05월 04일","1.910","1.870","1.910","1.740","3.98M","1.60%"
"2022년 05월 03일","1.880","1.920","1.950","1.850","2.60M","-3.09%"
"2022년 05월 02일","1.940","1.850","1.940","1.830","5.28M","4.86%"
"2022년 04월 29일","1.850","1.940","2.010","1.840","3.91M","-5.61%"
"2022년 04월 28일","1.960","2.000","2.000","1.860","3.07M","0.51%"
"2022년 04월 27일","1.950","1.970","2.040","1.950","3.28M","-1.52%"
"2022년 04월 26일","1.980","2.130","2.180","1.980","3.90M","-7.04%"
"2022년 04월 25일","2.130","2.060","2.150","2.050","2.38M","2.40%"
"2022년 04월 22일","2.080","2.110","2.140","2.045","3.52M","-1.42%"
