"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","31.31","30.87","31.38","30.68","2.44M","1.52%"
"2022년 05월 23일","30.84","30.96","31.09","30.69","4.60M","0.85%"
"2022년 05월 20일","30.58","30.72","30.76","30.23","4.11M","-0.26%"
"2022년 05월 19일","30.66","30.49","30.82","30.29","3.51M","-0.03%"
"2022년 05월 18일","30.67","31.34","31.43","30.60","4.44M","-2.23%"
"2022년 05월 17일","31.37","31.14","31.37","30.73","4.38M","1.29%"
"2022년 05월 16일","30.97","31.09","31.23","30.81","3.98M","-0.19%"
"2022년 05월 13일","31.03","30.63","31.05","30.41","3.80M","2.11%"
"2022년 05월 12일","30.39","30.36","30.45","29.81","5.98M","-0.03%"
"2022년 05월 11일","30.40","30.55","31.17","30.37","6.65M","-0.26%"
"2022년 05월 10일","30.48","30.44","31.18","30.00","6.35M","0.33%"
"2022년 05월 09일","30.38","30.52","30.76","30.21","4.67M","-1.14%"
"2022년 05월 06일","30.73","30.77","31.09","30.45","6.88M","-0.68%"
"2022년 05월 05일","30.94","31.27","31.40","30.58","5.21M","-1.28%"
"2022년 05월 04일","31.34","30.80","31.39","30.69","6.35M","2.62%"
"2022년 05월 03일","30.54","30.29","30.98","29.94","5.95M","1.06%"
"2022년 05월 02일","30.22","30.67","30.93","29.87","7.28M","-1.27%"
"2022년 04월 29일","30.61","31.35","31.38","30.56","4.37M","-2.64%"
"2022년 04월 28일","31.44","31.38","31.59","31.23","5.83M","0.35%"
"2022년 04월 27일","31.33","31.34","31.86","30.98","6.01M","0.13%"
"2022년 04월 26일","31.29","31.78","32.00","31.28","4.44M","-1.45%"
"2022년 04월 25일","31.75","31.87","31.94","31.18","5.22M","-0.25%"
