"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","90.05","88.58","90.05","88.36","106.06K","1.90%"
"2022년 05월 26일","88.37","86.18","88.58","85.59","122.73K","3.00%"
"2022년 05월 25일","85.80","85.01","86.15","84.46","81.96K","0.89%"
"2022년 05월 24일","85.04","83.19","85.13","82.71","127.09K","2.22%"
"2022년 05월 23일","83.19","82.41","84.19","82.41","131.03K","1.77%"
"2022년 05월 20일","81.74","81.08","81.83","80.31","103.25K","1.04%"
"2022년 05월 19일","80.90","81.11","81.78","80.44","120.78K","-0.81%"
"2022년 05월 18일","81.56","82.35","82.75","80.92","151.23K","-1.83%"
"2022년 05월 17일","83.08","82.14","83.29","81.92","118.15K","2.24%"
"2022년 05월 16일","81.26","82.03","82.06","80.54","120.03K","-0.94%"
"2022년 05월 13일","82.03","83.15","83.31","81.66","288.37K","-1.17%"
"2022년 05월 12일","83.00","83.71","84.20","82.51","473.34K","-0.92%"
"2022년 05월 11일","83.77","84.36","85.12","83.64","126.92K","-0.36%"
"2022년 05월 10일","84.07","84.05","84.84","83.00","129.67K","0.20%"
"2022년 05월 09일","83.90","83.21","84.55","83.18","103.93K","0.25%"
"2022년 05월 06일","83.69","81.90","84.24","81.80","180.46K","-1.16%"
"2022년 05월 05일","84.67","84.91","84.91","83.40","118.20K","-0.81%"
"2022년 05월 04일","85.36","83.51","85.55","82.64","207.20K","2.55%"
"2022년 05월 03일","83.24","83.30","83.71","82.22","78.38K","0.45%"
"2022년 05월 02일","82.87","82.36","83.07","81.05","224.67K","1.37%"
"2022년 04월 29일","81.75","83.34","83.50","81.42","193.75K","-1.91%"
