"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","107.85","107.03","108.13","103.46","2.60M","0.07%"
"2022년 05월 23일","107.77","109.81","110.46","107.23","1.77M","-0.98%"
"2022년 05월 20일","108.84","111.00","111.19","105.72","3.30M","-1.09%"
"2022년 05월 19일","110.04","112.52","114.63","109.91","2.63M","-3.19%"
"2022년 05월 18일","113.67","119.32","119.69","113.16","2.03M","-5.87%"
"2022년 05월 17일","120.76","118.88","120.92","118.18","1.75M","3.33%"
"2022년 05월 16일","116.87","116.80","118.13","115.50","1.56M","0.08%"
"2022년 05월 13일","116.78","117.00","117.68","115.18","2.65M","1.00%"
"2022년 05월 12일","115.62","112.74","116.28","111.17","2.75M","2.31%"
"2022년 05월 11일","113.01","118.99","120.00","112.78","3.31M","-5.09%"
"2022년 05월 10일","119.07","121.14","125.99","117.94","3.12M","0.74%"
"2022년 05월 09일","118.19","119.59","120.78","117.61","2.81M","-2.66%"
"2022년 05월 06일","121.42","121.20","122.96","118.64","2.37M","-0.75%"
"2022년 05월 05일","122.34","123.70","124.29","121.12","2.04M","-1.80%"
"2022년 05월 04일","124.58","120.73","125.18","119.58","1.62M","3.07%"
"2022년 05월 03일","120.87","117.73","121.70","116.25","1.88M","3.45%"
"2022년 05월 02일","116.84","118.56","119.06","113.44","2.47M","-0.98%"
"2022년 04월 29일","118.00","123.51","123.98","117.78","3.14M","-5.15%"
"2022년 04월 28일","124.41","122.02","125.05","120.82","2.29M","1.87%"
"2022년 04월 27일","122.13","124.60","125.19","122.06","2.03M","-1.61%"
"2022년 04월 26일","124.13","126.13","126.96","124.03","1.89M","-1.71%"
"2022년 04월 25일","126.29","125.72","126.70","123.94","2.05M","0.33%"
