"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","23.30","23.25","23.50","22.95","15.74K","1.30%"
"2022년 05월 26일","23.00","23.08","23.42","22.78","14.24K","0.79%"
"2022년 05월 25일","22.82","22.05","23.14","22.05","25.15K","3.05%"
"2022년 05월 24일","22.15","22.00","22.18","22.00","5.31K","0.11%"
"2022년 05월 23일","22.12","22.24","22.27","21.75","15.47K","0.23%"
"2022년 05월 20일","22.07","22.18","22.27","22.03","3.37K","0.00%"
"2022년 05월 19일","22.07","22.12","22.26","22.02","7.66K","-0.18%"
"2022년 05월 18일","22.11","22.06","22.33","22.06","3.56K","-0.09%"
"2022년 05월 17일","22.13","22.27","22.27","22.04","1.35K","0.00%"
"2022년 05월 16일","22.13","22.21","22.34","22.00","3.64K","0.05%"
"2022년 05월 13일","22.12","22.00","22.47","21.75","11.83K","-0.23%"
"2022년 05월 12일","22.17","22.06","22.38","21.78","3.35K","0.18%"
"2022년 05월 11일","22.13","22.09","22.55","22.04","1.53K","0.32%"
"2022년 05월 10일","22.06","22.90","22.90","21.81","24.25K","-2.65%"
"2022년 05월 09일","22.66","23.06","23.16","22.53","16.42K","-2.29%"
"2022년 05월 06일","23.19","23.06","23.55","22.79","29.47K","-0.77%"
"2022년 05월 05일","23.37","23.61","23.77","22.60","28.50K","-1.02%"
"2022년 05월 04일","23.61","23.80","23.80","23.28","15.74K","0.00%"
"2022년 05월 03일","23.61","23.79","24.16","23.54","8.95K","-0.51%"
"2022년 05월 02일","23.73","23.69","23.87","23.33","7.92K","-0.71%"
"2022년 04월 29일","23.90","24.20","24.20","23.50","7.50K","-0.25%"
