"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","362.16","366.98","366.98","357.28","465.28K","-1.68%"
"2022년 05월 23일","368.33","371.62","371.91","359.00","579.06K","-1.05%"
"2022년 05월 20일","372.23","370.61","375.13","362.74","768.22K","2.03%"
"2022년 05월 19일","364.83","357.18","369.36","356.10","851.99K","2.10%"
"2022년 05월 18일","357.33","361.59","361.73","350.88","1.01M","-2.46%"
"2022년 05월 17일","366.36","363.93","368.86","356.55","561.06K","1.71%"
"2022년 05월 16일","360.20","359.60","362.98","354.49","572.02K","-0.55%"
"2022년 05월 13일","362.18","352.95","367.55","351.98","827.55K","4.09%"
"2022년 05월 12일","347.95","330.66","348.41","330.66","1.02M","4.21%"
"2022년 05월 11일","333.90","337.97","346.32","332.00","887.98K","-1.85%"
"2022년 05월 10일","340.18","354.61","358.75","334.75","1.25M","-1.40%"
"2022년 05월 09일","345.02","362.96","365.27","343.62","1.15M","-5.90%"
"2022년 05월 06일","366.64","380.17","383.87","358.18","1.53M","-4.80%"
"2022년 05월 05일","385.11","400.00","402.67","377.43","1.51M","-6.37%"
"2022년 05월 04일","411.31","382.00","419.20","381.11","2.10M","-5.65%"
"2022년 05월 03일","435.96","436.53","441.01","429.59","912.95K","0.81%"
"2022년 05월 02일","432.46","429.37","437.27","420.62","835.64K","0.46%"
"2022년 04월 29일","430.48","446.47","454.59","429.13","713.52K","-3.99%"
"2022년 04월 28일","448.35","451.73","453.09","440.31","1.02M","0.26%"
"2022년 04월 27일","447.18","455.69","461.38","445.72","770.58K","-1.84%"
"2022년 04월 26일","455.56","467.91","470.47","455.34","749.68K","-3.54%"
"2022년 04월 25일","472.27","471.60","475.40","464.68","629.56K","-0.29%"
