"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","135.78","135.07","136.62","131.78","2.52M","-0.24%"
"2022년 05월 23일","136.11","131.50","136.22","129.82","3.25M","4.47%"
"2022년 05월 20일","130.28","130.75","133.93","127.20","3.06M","0.35%"
"2022년 05월 19일","129.82","124.82","132.13","124.69","2.94M","1.14%"
"2022년 05월 18일","128.36","132.10","132.25","126.40","3.28M","-2.35%"
"2022년 05월 17일","131.45","133.86","133.86","129.47","2.97M","0.11%"
"2022년 05월 16일","131.30","133.09","135.13","131.12","3.93M","-1.60%"
"2022년 05월 13일","133.43","129.86","135.78","129.76","2.76M","5.03%"
"2022년 05월 12일","127.04","123.50","127.68","121.83","3.32M","1.41%"
"2022년 05월 11일","125.27","129.08","133.13","125.00","2.69M","-3.52%"
"2022년 05월 10일","129.84","132.62","135.74","125.00","3.06M","0.27%"
"2022년 05월 09일","129.49","138.60","139.48","127.91","3.31M","-9.40%"
"2022년 05월 06일","142.93","141.48","143.60","137.60","2.73M","3.13%"
"2022년 05월 05일","138.59","143.60","144.94","135.48","2.85M","-2.74%"
"2022년 05월 04일","142.49","140.25","142.86","136.55","2.54M","4.69%"
"2022년 05월 03일","136.11","133.87","136.79","128.35","3.56M","6.75%"
"2022년 05월 02일","127.50","124.00","127.61","122.55","2.27M","1.01%"
"2022년 04월 29일","126.23","129.85","132.05","125.31","1.75M","-2.50%"
"2022년 04월 28일","129.47","127.92","131.54","123.24","1.90M","2.23%"
"2022년 04월 27일","126.64","126.49","128.07","121.60","1.55M","1.00%"
"2022년 04월 26일","125.39","125.39","129.55","124.74","1.58M","-0.34%"
"2022년 04월 25일","125.82","125.25","126.88","119.76","2.88M","-3.29%"
