"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","292.88","294.02","295.52","289.08","761.55K","-0.77%"
"2022년 05월 23일","295.15","292.00","296.22","288.43","704.59K","2.03%"
"2022년 05월 20일","289.27","287.02","289.33","281.79","1.51M","2.30%"
"2022년 05월 19일","282.76","277.93","284.03","277.08","1.63M","0.77%"
"2022년 05월 18일","280.60","288.86","288.99","279.73","829.08K","-4.19%"
"2022년 05월 17일","292.86","292.48","294.00","289.09","880.20K","1.77%"
"2022년 05월 16일","287.76","287.26","290.09","282.24","960.60K","-0.42%"
"2022년 05월 13일","288.96","290.32","293.36","285.98","1.24M","1.18%"
"2022년 05월 12일","285.59","278.00","286.77","276.79","892.98K","1.21%"
"2022년 05월 11일","282.18","283.32","288.07","280.49","949.01K","-1.00%"
"2022년 05월 10일","285.04","286.67","289.29","281.51","1.18M","-0.21%"
"2022년 05월 09일","285.63","295.96","297.79","284.46","1.26M","-4.93%"
"2022년 05월 06일","300.44","299.74","302.56","295.38","1.06M","-1.17%"
"2022년 05월 05일","304.01","313.68","315.00","301.15","1.25M","-4.22%"
"2022년 05월 04일","317.41","311.19","318.61","302.63","1.34M","2.58%"
"2022년 05월 03일","309.42","299.41","310.40","299.05","1.62M","2.75%"
"2022년 05월 02일","301.13","288.03","305.76","287.01","3.00M","-4.85%"
"2022년 04월 29일","316.48","323.84","325.96","315.58","1.28M","-3.10%"
"2022년 04월 28일","326.60","323.51","328.29","317.85","771.83K","2.23%"
"2022년 04월 27일","319.49","317.15","324.63","317.15","975.73K","0.15%"
"2022년 04월 26일","319.00","323.12","325.52","318.23","971.18K","-2.00%"
"2022년 04월 25일","325.51","320.00","325.74","317.36","1.24M","0.96%"
