"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","12.96","12.89","12.98","12.69","10.18M","-0.69%"
"2022년 05월 23일","13.05","13.08","13.24","12.95","12.45M","0.93%"
"2022년 05월 20일","12.93","13.08","13.12","12.68","16.51M","-0.23%"
"2022년 05월 19일","12.96","12.62","13.07","12.61","14.06M","1.81%"
"2022년 05월 18일","12.73","13.21","13.21","12.67","12.94M","-4.50%"
"2022년 05월 17일","13.33","13.16","13.37","13.03","13.52M","3.01%"
"2022년 05월 16일","12.94","12.71","13.01","12.70","11.57M","1.33%"
"2022년 05월 13일","12.77","12.70","12.87","12.64","12.76M","1.59%"
"2022년 05월 12일","12.57","12.50","12.66","12.42","13.23M","0.48%"
"2022년 05월 11일","12.51","12.48","12.80","12.44","19.24M","-0.40%"
"2022년 05월 10일","12.56","12.73","12.77","12.40","15.70M","-0.40%"
"2022년 05월 09일","12.61","12.69","12.81","12.58","17.45M","-1.56%"
"2022년 05월 06일","12.81","12.63","12.92","12.49","16.68M","1.34%"
"2022년 05월 05일","12.64","12.88","12.88","12.50","22.55M","-3.66%"
"2022년 05월 04일","13.12","12.67","13.18","12.37","28.91M","9.61%"
"2022년 05월 03일","11.97","11.74","12.05","11.69","11.36M","2.31%"
"2022년 05월 02일","11.70","11.86","11.95","11.52","12.55M","-1.35%"
"2022년 04월 29일","11.86","12.19","12.27","11.81","17.67M","-2.31%"
"2022년 04월 28일","12.14","12.03","12.20","11.80","14.58M","1.00%"
"2022년 04월 27일","12.02","11.62","12.08","11.59","28.12M","3.53%"
"2022년 04월 26일","11.61","11.62","11.71","11.49","20.10M","-0.34%"
"2022년 04월 25일","11.65","11.56","11.66","11.35","8.12M","0.60%"
