"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","41.00","41.54","42.00","41.00","1.14K","-2.24%"
"2022년 05월 23일","41.94","42.14","42.14","41.90","1.27K","1.92%"
"2022년 05월 20일","41.15","41.15","41.15","41.15","0.14K","-2.86%"
"2022년 05월 19일","42.36","42.00","42.82","41.00","2.25K","0.86%"
"2022년 05월 18일","42.00","42.00","42.00","42.00","0.33K","1.45%"
"2022년 05월 13일","41.40","41.40","41.40","41.40","0.33K","3.50%"
"2022년 05월 12일","40.00","40.00","40.00","39.50","1.06K","0.00%"
"2022년 05월 10일","40.00","40.00","40.00","40.00","0.45K","-4.76%"
"2022년 05월 09일","42.00","40.75","42.00","40.75","0.57K","-0.12%"
"2022년 05월 06일","42.05","40.50","42.22","40.50","1.48K","7.82%"
"2022년 05월 05일","39.00","39.00","39.00","39.00","0.10K","-6.23%"
"2022년 05월 04일","41.59","39.80","43.00","39.80","4.84K","4.00%"
"2022년 05월 03일","39.99","39.43","39.99","39.43","0.21K","-0.02%"
"2022년 05월 02일","40.00","40.00","40.00","40.00","0.48K","-1.79%"
"2022년 04월 29일","40.73","39.50","40.73","39.50","0.25K","1.82%"
"2022년 04월 28일","40.00","39.00","41.00","39.00","0.58K","-2.44%"
"2022년 05월 27일","41.00","41.54","42.00","41.00","1.14K","-2.24%"
"2022년 05월 23일","41.94","42.14","42.14","41.90","1.27K","1.92%"
"2022년 05월 20일","41.15","41.15","41.15","41.15","0.14K","-2.86%"
"2022년 05월 19일","42.36","42.00","42.82","41.00","2.25K","0.86%"
"2022년 05월 18일","42.00","42.00","42.00","42.00","0.33K","1.45%"
"2022년 05월 13일","41.40","41.40","41.40","41.40","0.33K","3.50%"
"2022년 05월 12일","40.00","40.00","40.00","39.50","1.06K","0.00%"
"2022년 05월 10일","40.00","40.00","40.00","40.00","0.45K","-4.76%"
"2022년 05월 09일","42.00","40.75","42.00","40.75","0.57K","-0.12%"
"2022년 05월 06일","42.05","40.50","42.22","40.50","1.48K","7.82%"
"2022년 05월 05일","39.00","39.00","39.00","39.00","0.10K","-6.23%"
"2022년 05월 04일","41.59","39.80","43.00","39.80","4.84K","4.00%"
"2022년 05월 03일","39.99","39.43","39.99","39.43","0.21K","-0.02%"
"2022년 05월 02일","40.00","40.00","40.00","40.00","0.48K","-1.79%"
