"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","82.41","81.31","82.47","79.60","163.54K","2.25%"
"2022년 05월 26일","80.60","80.11","81.51","78.09","195.20K","1.42%"
"2022년 05월 25일","79.47","78.60","80.22","78.00","169.49K","1.17%"
"2022년 05월 24일","78.55","79.32","79.32","77.18","237.16K","-1.11%"
"2022년 05월 23일","79.43","79.92","80.94","77.81","326.42K","0.51%"
"2022년 05월 20일","79.03","79.19","80.04","76.93","211.92K","0.13%"
"2022년 05월 19일","78.93","78.62","80.19","78.24","178.33K","-0.24%"
"2022년 05월 18일","79.12","80.72","81.22","78.40","249.87K","-2.97%"
"2022년 05월 17일","81.54","79.53","81.94","79.13","190.23K","3.71%"
"2022년 05월 16일","78.62","78.38","79.22","77.91","149.31K","-0.23%"
"2022년 05월 13일","78.80","78.19","79.59","77.68","231.99K","1.19%"
"2022년 05월 12일","77.87","76.16","77.94","75.46","186.09K","1.99%"
"2022년 05월 11일","76.35","77.59","78.82","76.11","216.35K","-1.42%"
"2022년 05월 10일","77.45","77.14","78.18","75.83","213.29K","0.93%"
"2022년 05월 09일","76.74","75.50","77.54","74.47","389.20K","1.00%"
"2022년 05월 06일","75.98","77.45","78.09","74.95","368.39K","-2.29%"
"2022년 05월 05일","77.76","78.25","79.23","77.11","342.40K","-1.49%"
"2022년 05월 04일","78.94","79.01","79.59","77.22","304.50K","0.69%"
"2022년 05월 03일","78.40","79.65","79.65","78.04","244.44K","-0.88%"
"2022년 05월 02일","79.10","80.07","83.56","77.55","294.21K","-1.53%"
"2022년 04월 29일","80.33","81.25","83.53","79.59","332.64K","-2.00%"
