"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","0.900","0.860","0.920","0.825","369.74K","6.51%"
"2022년 05월 26일","0.845","0.826","0.934","0.820","437.15K","2.85%"
"2022년 05월 25일","0.822","0.832","0.860","0.820","329.49K","-1.71%"
"2022년 05월 24일","0.836","0.900","0.927","0.820","401.60K","-6.13%"
"2022년 05월 23일","0.891","0.888","0.960","0.852","432.16K","0.29%"
"2022년 05월 20일","0.888","0.969","0.980","0.846","493.27K","-3.39%"
"2022년 05월 19일","0.919","0.870","0.970","0.850","596.93K","5.48%"
"2022년 05월 18일","0.872","0.899","0.928","0.850","555.81K","-3.84%"
"2022년 05월 17일","0.906","0.892","0.970","0.860","623.30K","5.49%"
"2022년 05월 16일","0.859","0.851","0.900","0.833","478.60K","0.12%"
"2022년 05월 13일","0.858","0.826","0.970","0.826","694.68K","7.29%"
"2022년 05월 12일","0.800","0.808","0.850","0.790","723.48K","-0.39%"
"2022년 05월 11일","0.803","0.930","0.933","0.803","758.59K","-13.25%"
"2022년 05월 10일","0.926","0.954","0.990","0.905","809.57K","1.31%"
"2022년 05월 09일","0.914","0.960","0.975","0.900","618.29K","-5.08%"
"2022년 05월 06일","0.963","0.972","1.020","0.956","367.72K","-1.50%"
"2022년 05월 05일","0.977","1.020","1.035","0.950","750.58K","-6.02%"
"2022년 05월 04일","1.040","1.020","1.050","0.940","744.52K","1.96%"
"2022년 05월 03일","1.020","1.020","1.070","1.010","608.81K","0.00%"
"2022년 05월 02일","1.020","1.120","1.120","1.010","477.71K","-7.27%"
"2022년 04월 29일","1.100","1.100","1.110","1.050","802.41K","-3.51%"
