"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 27일","23.74","23.29","23.75","23.28","2.92M","2.64%"
"2022년 05월 26일","23.13","22.95","23.29","22.93","4.12M","1.58%"
"2022년 05월 25일","22.77","22.25","22.89","22.19","5.03M","1.29%"
"2022년 05월 24일","22.48","22.02","22.50","21.42","5.45M","1.77%"
"2022년 05월 23일","22.09","22.22","22.46","21.72","4.08M","0.36%"
"2022년 05월 20일","22.01","22.88","22.90","21.36","6.78M","-2.48%"
"2022년 05월 19일","22.57","22.74","23.17","22.55","6.41M","-1.78%"
"2022년 05월 18일","22.98","23.92","23.96","22.91","5.31M","-4.61%"
"2022년 05월 17일","24.09","23.61","24.09","23.47","4.85M","3.66%"
"2022년 05월 16일","23.24","23.23","23.42","23.06","4.18M","-0.04%"
"2022년 05월 13일","23.25","22.68","23.28","22.39","6.54M","3.33%"
"2022년 05월 12일","22.50","22.20","22.75","22.04","8.51M","1.40%"
"2022년 05월 11일","22.19","22.84","23.33","22.14","5.98M","-2.38%"
"2022년 05월 10일","22.73","23.58","23.74","22.67","5.58M","-2.66%"
"2022년 05월 09일","23.35","23.66","23.80","23.22","6.33M","-2.67%"
"2022년 05월 06일","23.99","24.02","24.27","23.65","5.39M","-0.87%"
"2022년 05월 05일","24.20","25.25","25.28","23.93","5.82M","-4.39%"
"2022년 05월 04일","25.31","25.03","25.36","24.69","6.06M","1.04%"
"2022년 05월 03일","25.05","24.72","25.20","24.34","4.33M","1.75%"
"2022년 05월 02일","24.62","25.40","25.52","24.01","6.46M","-2.80%"
