"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 20일","52.71","51.81","52.96","51.47","1.47M","2.31%"
"2022년 05월 19일","51.52","50.91","52.07","50.33","1.38M","-0.52%"
"2022년 05월 18일","51.79","53.10","53.32","51.66","2.24M","-3.05%"
"2022년 05월 17일","53.42","53.17","53.66","52.70","1.38M","1.95%"
"2022년 05월 16일","52.40","52.03","53.86","51.74","2.13M","0.29%"
"2022년 05월 13일","52.25","49.95","52.30","49.91","2.32M","5.66%"
"2022년 05월 12일","49.45","48.16","49.55","47.92","1.89M","1.29%"
"2022년 05월 11일","48.82","49.42","50.51","48.63","1.05M","-1.25%"
"2022년 05월 10일","49.44","48.89","49.78","48.46","1.43M","1.21%"
"2022년 05월 09일","48.85","48.21","49.28","47.99","860.09K","0.29%"
"2022년 05월 06일","48.71","49.04","49.37","48.08","1.08M","-1.66%"
"2022년 05월 05일","49.53","50.92","51.36","49.23","1.13M","-3.92%"
"2022년 05월 04일","51.55","49.67","51.65","49.62","782.81K","3.49%"
"2022년 05월 03일","49.81","50.23","50.47","49.70","915.72K","0.22%"
"2022년 05월 02일","49.70","50.43","50.84","49.17","1.10M","-0.50%"
"2022년 04월 29일","49.95","51.46","51.87","49.82","1.73M","-3.31%"
"2022년 04월 28일","51.66","50.81","51.94","50.51","970.26K","0.54%"
"2022년 04월 27일","51.38","51.30","52.07","50.41","1.53M","1.28%"
"2022년 04월 26일","50.73","51.56","51.95","50.60","1.38M","-3.00%"
"2022년 04월 25일","52.30","51.17","52.56","50.73","1.72M","1.85%"
"2022년 04월 22일","51.35","51.12","51.67","50.45","1.23M","-0.02%"
