"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 05월 24일","93.12","93.38","93.55","90.79","1.27M","-1.14%"
"2022년 05월 23일","94.19","93.42","94.88","91.86","1.61M","2.64%"
"2022년 05월 20일","91.77","92.83","93.66","89.64","1.36M","0.25%"
"2022년 05월 19일","91.54","90.59","92.47","90.22","900.70K","-0.49%"
"2022년 05월 18일","91.99","95.75","96.00","91.71","1.32M","-5.09%"
"2022년 05월 17일","96.92","96.35","97.00","95.38","895.64K","2.94%"
"2022년 05월 16일","94.15","94.73","95.17","92.94","812.84K","-0.88%"
"2022년 05월 13일","94.99","93.44","95.95","93.00","900.30K","3.25%"
"2022년 05월 12일","92.00","92.05","93.13","89.83","1.12M","-1.02%"
"2022년 05월 11일","92.95","93.43","96.17","92.86","1.17M","-0.84%"
"2022년 05월 10일","93.74","94.77","95.39","92.04","1.37M","0.12%"
"2022년 05월 09일","93.63","95.59","95.87","93.15","1.24M","-3.69%"
"2022년 05월 06일","97.22","98.45","98.45","96.18","941.02K","-2.07%"
"2022년 05월 05일","99.27","101.45","101.91","97.39","906.33K","-3.84%"
"2022년 05월 04일","103.23","100.68","103.32","98.43","896.92K","2.87%"
"2022년 05월 03일","100.35","98.87","100.93","98.15","1.09M","1.95%"
"2022년 05월 02일","98.43","97.73","99.39","95.79","1.27M","1.00%"
"2022년 04월 29일","97.46","103.52","103.52","97.26","1.64M","-6.32%"
"2022년 04월 28일","104.04","102.46","105.00","98.91","2.48M","3.60%"
"2022년 04월 27일","100.42","99.95","101.99","99.95","1.53M","0.39%"
"2022년 04월 26일","100.03","102.69","103.09","99.94","980.86K","-3.79%"
"2022년 04월 25일","103.97","102.21","104.15","101.39","1.53M","0.43%"
